Wikidata ID,Clowder,Clowder link
Q185837,constructions-with-sets:binary-intersections,https://www.clowderproject.com/tag/003Y.html
Q845126,constructions-with-sets:differences,https://www.clowderproject.com/tag/004E.html
Q5073765,constructions-with-sets:the-characteristic-function-of-a-subset,https://www.clowderproject.com/tag/005Z.html
Q860623,constructions-with-sets:the-direct-image-function-associated-to-a-function,https://www.clowderproject.com/tag/007G.html
Q33059348,categories:full-functors,https://www.clowderproject.com/tag/011S.html
Q1082992,categories:equivalences-of-categories,https://www.clowderproject.com/tag/013Q.html
Q110535030,categories:natural-isomorphisms,https://www.clowderproject.com/tag/018J.html
Q842620,constructions-with-sets:coproducts-of-sets,https://www.clowderproject.com/tag/0021.html
Q242767,constructions-with-sets:complements,https://www.clowderproject.com/tag/0050.html
Q5637899,constructions-with-sets:the-inverse-image-function-associated-to-a-function,https://www.clowderproject.com/tag/0081.html
Q124662529,categories:contravariant-functors,https://www.clowderproject.com/tag/0108.html
Q12175350,categories:faithful-functors,https://www.clowderproject.com/tag/0117.html
Q120721906,categories:fully-faithful-functors,https://www.clowderproject.com/tag/0129.html
Q6086107,categories:isomorphisms-of-categories,https://www.clowderproject.com/tag/0149.html
