Child Lean,Child Label,Child Wikidata ID,Child Mathlib Link,Parent Lean,Parent Label,Parent Wikidata ID,Parent Mathlib Link,Depth,Path
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,NNRatCast,,,https://leanprover-community.github.io/mathlib4_docs/Data/Rat/Init.html#NNRatCast,1,DivisionRing > NNRatCast
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Nontrivial,,,https://leanprover-community.github.io/mathlib4_docs/Logic/Nontrivial/Defs.html#Nontrivial,1,DivisionRing > Nontrivial
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,RatCast,,,,1,DivisionRing > RatCast
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Ring,ring,Q161172,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,1,DivisionRing > Ring
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,AddCommGroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommGroup,2,DivisionRing > Ring > AddCommGroup
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,AddGroupWithOne,,,https://leanprover-community.github.io/mathlib4_docs/Data/Int/Cast/Defs.html#AddGroupWithOne,2,DivisionRing > Ring > AddGroupWithOne
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Div,,,,2,DivisionRing > DivInvMonoid > Div
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Inv,,,,2,DivisionRing > DivInvMonoid > Inv
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,2,DivisionRing > DivInvMonoid > Monoid
DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,Semiring,semiring,Q1333055,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Semiring,2,DivisionRing > Ring > Semiring
