Child Lean,Child Label,Child Wikidata ID,Child Mathlib Link,Parent Lean,Parent Label,Parent Wikidata ID,Parent Mathlib Link,Depth,Path
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,MulZeroOneClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#MulZeroOneClass,5,EuclideanDomain > CommRing > Ring > Semiring > NonAssocSemiring > MulZeroOneClass
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,NatCast,,,,5,EuclideanDomain > CommRing > Ring > AddGroupWithOne > AddMonoidWithOne > NatCast
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,NonUnitalNonAssocSemiring,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#NonUnitalNonAssocSemiring,5,EuclideanDomain > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,One,,,,5,EuclideanDomain > CommRing > Ring > AddGroupWithOne > AddMonoidWithOne > One
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,SemigroupWithZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#SemigroupWithZero,5,EuclideanDomain > CommRing > Ring > Semiring > NonUnitalSemiring > SemigroupWithZero
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,SubNegMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#SubNegMonoid,5,EuclideanDomain > CommRing > Ring > AddCommGroup > AddGroup > SubNegMonoid
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddCommMagma,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommMagma,6,EuclideanDomain > CommRing > Ring > AddCommGroup > AddCommMonoid > AddCommSemigroup > AddCommMagma
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddSemigroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddSemigroup,6,EuclideanDomain > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddSemigroup
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddZeroClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddZeroClass,6,EuclideanDomain > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddZeroClass
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Distrib,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#Distrib,6,EuclideanDomain > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > Distrib
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,MulZeroClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#MulZeroClass,6,EuclideanDomain > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > MulZeroClass
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Neg,,,,6,EuclideanDomain > CommRing > Ring > AddCommGroup > AddGroup > SubNegMonoid > Neg
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Sub,,,,6,EuclideanDomain > CommRing > Ring > AddCommGroup > AddGroup > SubNegMonoid > Sub
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Add,,,,7,EuclideanDomain > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > Distrib > Add
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,AddZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddZero,7,EuclideanDomain > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddZeroClass > AddZero
EuclideanDomain,Euclidean domain,Q867345,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain,Zero,,,,7,EuclideanDomain > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > MulZeroClass > Zero
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,CommRing,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#CommRing,1,Field > CommRing
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,DivisionRing,division ring,Q650741,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#DivisionRing,1,Field > DivisionRing
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,CommMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#CommMonoid,2,Field > CommRing > CommMonoid
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,DivInvMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#DivInvMonoid,2,Field > DivisionRing > DivInvMonoid
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,NNRatCast,,,https://leanprover-community.github.io/mathlib4_docs/Data/Rat/Init.html#NNRatCast,2,Field > DivisionRing > NNRatCast
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Nontrivial,,,https://leanprover-community.github.io/mathlib4_docs/Logic/Nontrivial/Defs.html#Nontrivial,2,Field > DivisionRing > Nontrivial
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,RatCast,,,,2,Field > DivisionRing > RatCast
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Ring,ring,Q161172,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Ring,2,Field > CommRing > Ring
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddCommGroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommGroup,3,Field > CommRing > Ring > AddCommGroup
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddGroupWithOne,,,https://leanprover-community.github.io/mathlib4_docs/Data/Int/Cast/Defs.html#AddGroupWithOne,3,Field > CommRing > Ring > AddGroupWithOne
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,CommSemigroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#CommSemigroup,3,Field > CommRing > CommMonoid > CommSemigroup
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Div,,,,3,Field > DivisionRing > DivInvMonoid > Div
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Inv,,,,3,Field > DivisionRing > DivInvMonoid > Inv
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,3,Field > CommRing > CommMonoid > Monoid
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Semiring,semiring,Q1333055,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Defs.html#Semiring,3,Field > CommRing > Ring > Semiring
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddCommMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommMonoid,4,Field > CommRing > Ring > AddCommGroup > AddCommMonoid
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddGroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddGroup,4,Field > CommRing > Ring > AddCommGroup > AddGroup
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddMonoidWithOne,,,https://leanprover-community.github.io/mathlib4_docs/Data/Nat/Cast/Defs.html#AddMonoidWithOne,4,Field > CommRing > Ring > AddGroupWithOne > AddMonoidWithOne
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,CommMagma,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#CommMagma,4,Field > CommRing > CommMonoid > CommSemigroup > CommMagma
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,IntCast,,,,4,Field > CommRing > Ring > AddGroupWithOne > IntCast
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,MonoidWithZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#MonoidWithZero,4,Field > CommRing > Ring > Semiring > MonoidWithZero
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,MulOneClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOneClass,4,Field > CommRing > CommMonoid > Monoid > MulOneClass
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,NonAssocSemiring,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#NonAssocSemiring,4,Field > CommRing > Ring > Semiring > NonAssocSemiring
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,NonUnitalSemiring,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#NonUnitalSemiring,4,Field > CommRing > Ring > Semiring > NonUnitalSemiring
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Semigroup,semigroup,Q207348,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Semigroup,4,Field > CommRing > CommMonoid > Monoid > Semigroup
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddCommMonoidWithOne,,,https://leanprover-community.github.io/mathlib4_docs/Data/Nat/Cast/Defs.html#AddCommMonoidWithOne,5,Field > CommRing > Ring > Semiring > NonAssocSemiring > AddCommMonoidWithOne
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddCommSemigroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommSemigroup,5,Field > CommRing > Ring > AddCommGroup > AddCommMonoid > AddCommSemigroup
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddMonoid,5,Field > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Mul,,,,5,Field > CommRing > CommMonoid > Monoid > Semigroup > Mul
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,MulOne,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOne,5,Field > CommRing > CommMonoid > Monoid > MulOneClass > MulOne
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,MulZeroOneClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#MulZeroOneClass,5,Field > CommRing > Ring > Semiring > NonAssocSemiring > MulZeroOneClass
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,NatCast,,,,5,Field > CommRing > Ring > AddGroupWithOne > AddMonoidWithOne > NatCast
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,NonUnitalNonAssocSemiring,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#NonUnitalNonAssocSemiring,5,Field > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,One,,,,5,Field > CommRing > Ring > AddGroupWithOne > AddMonoidWithOne > One
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,SemigroupWithZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#SemigroupWithZero,5,Field > CommRing > Ring > Semiring > NonUnitalSemiring > SemigroupWithZero
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,SubNegMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#SubNegMonoid,5,Field > CommRing > Ring > AddCommGroup > AddGroup > SubNegMonoid
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddCommMagma,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddCommMagma,6,Field > CommRing > Ring > AddCommGroup > AddCommMonoid > AddCommSemigroup > AddCommMagma
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddSemigroup,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddSemigroup,6,Field > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddSemigroup
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddZeroClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddZeroClass,6,Field > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddZeroClass
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Distrib,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Ring/Defs.html#Distrib,6,Field > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > Distrib
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,MulZeroClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Defs.html#MulZeroClass,6,Field > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > MulZeroClass
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Neg,,,,6,Field > CommRing > Ring > AddCommGroup > AddGroup > SubNegMonoid > Neg
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Sub,,,,6,Field > CommRing > Ring > AddCommGroup > AddGroup > SubNegMonoid > Sub
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Add,,,,7,Field > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > Distrib > Add
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,AddZero,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#AddZero,7,Field > CommRing > Ring > AddCommGroup > AddCommMonoid > AddMonoid > AddZeroClass > AddZero
Field,field,Q1172412,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Field/Defs.html#Field,Zero,,,,7,Field > CommRing > Ring > Semiring > NonUnitalSemiring > NonUnitalNonAssocSemiring > MulZeroClass > Zero
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,DivInvMonoid,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#DivInvMonoid,1,Group > DivInvMonoid
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,Div,,,,2,Group > DivInvMonoid > Div
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,Inv,,,,2,Group > DivInvMonoid > Inv
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,2,Group > DivInvMonoid > Monoid
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,MulOneClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOneClass,3,Group > DivInvMonoid > Monoid > MulOneClass
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,Semigroup,semigroup,Q207348,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Semigroup,3,Group > DivInvMonoid > Monoid > Semigroup
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,Mul,,,,4,Group > DivInvMonoid > Monoid > Semigroup > Mul
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,MulOne,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOne,4,Group > DivInvMonoid > Monoid > MulOneClass > MulOne
Group,group,Q83478,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Group,One,,,,5,Group > DivInvMonoid > Monoid > MulOneClass > MulOne > One
Irreducible,irreducible polynomial,Q1476663,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Irreducible/Defs.html#Irreducible,Irreducible,irreducible element,Q2989575,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Irreducible/Defs.html#Irreducible,1,Irreducible (irreducible polynomial) > Irreducible (irreducible element)
IsLocalRing,local ring,Q1142704,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/LocalRing/Defs.html#IsLocalRing,Nontrivial,,,https://leanprover-community.github.io/mathlib4_docs/Logic/Nontrivial/Defs.html#Nontrivial,1,IsLocalRing > Nontrivial
IsTopologicalGroup,topological group,Q1046291,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Group/Defs.html#IsTopologicalGroup,ContinuousInv,,,https://leanprover-community.github.io/mathlib4_docs/Topology/Algebra/Group/Defs.html#ContinuousInv,1,IsTopologicalGroup > ContinuousInv
IsTopologicalGroup,topological group,Q1046291,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Group/Defs.html#IsTopologicalGroup,ContinuousMul,,,https://leanprover-community.github.io/mathlib4_docs/Topology/Algebra/Monoid/Defs.html#ContinuousMul,1,IsTopologicalGroup > ContinuousMul
IsTopologicalRing,topological ring,Q922339,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Ring/Basic.html#IsTopologicalRing,ContinuousNeg,,,https://leanprover-community.github.io/mathlib4_docs/Topology/Algebra/Group/Defs.html#ContinuousNeg,1,IsTopologicalRing > ContinuousNeg
IsTopologicalRing,topological ring,Q922339,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Ring/Basic.html#IsTopologicalRing,IsTopologicalSemiring,,,https://leanprover-community.github.io/mathlib4_docs/Topology/Algebra/Ring/Basic.html#IsTopologicalSemiring,1,IsTopologicalRing > IsTopologicalSemiring
IsTopologicalRing,topological ring,Q922339,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Ring/Basic.html#IsTopologicalRing,ContinuousAdd,,,https://leanprover-community.github.io/mathlib4_docs/Topology/Algebra/Monoid/Defs.html#ContinuousAdd,2,IsTopologicalRing > IsTopologicalSemiring > ContinuousAdd
IsTopologicalRing,topological ring,Q922339,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Ring/Basic.html#IsTopologicalRing,ContinuousMul,,,https://leanprover-community.github.io/mathlib4_docs/Topology/Algebra/Monoid/Defs.html#ContinuousMul,2,IsTopologicalRing > IsTopologicalSemiring > ContinuousMul
LieGroup,Lie group,Q622679,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/Manifold/Algebra/LieGroup.html#LieGroup,ContMDiffMul,,,https://leanprover-community.github.io/mathlib4_docs/Geometry/Manifold/Algebra/Monoid.html#ContMDiffMul,1,LieGroup > ContMDiffMul
LieGroup,Lie group,Q622679,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/Manifold/Algebra/LieGroup.html#LieGroup,IsManifold,,,https://leanprover-community.github.io/mathlib4_docs/Geometry/Manifold/IsManifold/Basic.html#IsManifold,2,LieGroup > ContMDiffMul > IsManifold
LieGroup,Lie group,Q622679,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/Manifold/Algebra/LieGroup.html#LieGroup,HasGroupoid,,,https://leanprover-community.github.io/mathlib4_docs/Geometry/Manifold/ChartedSpace.html#HasGroupoid,3,LieGroup > ContMDiffMul > IsManifold > HasGroupoid
MeasureTheory.Measure,Strictly positive measure,Q4025690,https://leanprover-community.github.io/mathlib4_docs/Mathlib/MeasureTheory/Measure/MeasureSpaceDef.html#MeasureTheory.Measure,OuterMeasure,outer measure,Q258374,https://leanprover-community.github.io/mathlib4_docs/MeasureTheory/OuterMeasure/Defs.html#OuterMeasure,1,MeasureTheory.Measure > OuterMeasure
MetricSpace,metric space,Q180953,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/MetricSpace/Defs.html#MetricSpace,PseudoMetricSpace,,,https://leanprover-community.github.io/mathlib4_docs/Topology/MetricSpace/Pseudo/Defs.html#PseudoMetricSpace,1,MetricSpace > PseudoMetricSpace
MetricSpace,metric space,Q180953,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/MetricSpace/Defs.html#MetricSpace,Dist,,,https://leanprover-community.github.io/mathlib4_docs/Topology/MetricSpace/Pseudo/Defs.html#Dist,2,MetricSpace > PseudoMetricSpace > Dist
Module,vector space,Q125977,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,DistribMulAction,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Action/Defs.html#DistribMulAction,1,Module > DistribMulAction
Module,Module (algebra),Q18848,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,DistribMulAction,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/GroupWithZero/Action/Defs.html#DistribMulAction,1,Module > DistribMulAction
Module,vector space,Q125977,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,Module,Module (algebra),Q18848,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,1,Module (vector space) > Module (Module (algebra))
Module,vector space,Q125977,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,MulAction,group action,Q288465,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Action/Defs.html#MulAction,2,Module > DistribMulAction > MulAction
Module,Module (algebra),Q18848,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,MulAction,group action,Q288465,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Action/Defs.html#MulAction,2,Module > DistribMulAction > MulAction
Module,vector space,Q125977,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,SMul,,,,3,Module > DistribMulAction > MulAction > SMul
Module,Module (algebra),Q18848,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,SMul,,,,3,Module > DistribMulAction > MulAction > SMul
Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,MulOneClass,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOneClass,1,Monoid > MulOneClass
Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,Semigroup,semigroup,Q207348,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Semigroup,1,Monoid > Semigroup
Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,Mul,,,,2,Monoid > Semigroup > Mul
Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,MulOne,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Defs.html#MulOne,2,Monoid > MulOneClass > MulOne
Monoid,monoid,Q208237,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Defs.html#Monoid,One,,,,3,Monoid > MulOneClass > MulOne > One
MonoidHom,group homomorphism,Q868169,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Hom/Defs.html#MonoidHom,M,,,,1,MonoidHom > M
MonoidHom,group homomorphism,Q868169,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Hom/Defs.html#MonoidHom,OneHom,,,https://leanprover-community.github.io/mathlib4_docs/Algebra/Group/Hom/Defs.html#OneHom,1,MonoidHom > OneHom
MulAction,group action,Q288465,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Group/Action/Defs.html#MulAction,SMul,,,,1,MulAction > SMul
