Wikidata ID,Mathlib UG
[Q245462](https://www.wikidata.org/wiki/Q245462),[Cyclic group](https://leanprover-community.github.io/mathlib_docs/group_theory/specific_groups/cyclic.html#is_cyclic)
[Q298582](https://www.wikidata.org/wiki/Q298582),[Signature (mathematics)](https://leanprover-community.github.io/mathlib_docs/group_theory/perm/sign.html#equiv.perm.sign)
[Q7512811](https://www.wikidata.org/wiki/Q7512811),[Signature (topology)](https://leanprover-community.github.io/mathlib_docs/group_theory/perm/sign.html#equiv.perm.sign)
[Q438814](https://www.wikidata.org/wiki/Q438814),[Alternating group](https://leanprover-community.github.io/mathlib_docs/group_theory/specific_groups/alternating.html#alternating_group)
[Q524607](https://www.wikidata.org/wiki/Q524607),[General linear group](https://leanprover-community.github.io/mathlib_docs/linear_algebra/general_linear_group.html#linear_map.general_linear_group)
[Q2140900](https://www.wikidata.org/wiki/Q2140900),[Special linear group](https://leanprover-community.github.io/mathlib_docs/linear_algebra/matrix/special_linear_group.html#matrix.special_linear_group)
[Q1783179](https://www.wikidata.org/wiki/Q1783179),[Orthogonal group](https://leanprover-community.github.io/mathlib_docs/linear_algebra/unitary_group.html#matrix.orthogonal_group)
[Q1500617](https://www.wikidata.org/wiki/Q1500617),[Unitary group](https://leanprover-community.github.io/mathlib_docs/linear_algebra/unitary_group.html#matrix.unitary_group)
[Q656198](https://www.wikidata.org/wiki/Q656198),[Maschke theorem](https://leanprover-community.github.io/mathlib_docs/representation_theory/maschke.html#monoid_algebra.submodule.exists_is_compl)
[Q161172](https://www.wikidata.org/wiki/Q161172),[Ring (mathematics)](https://leanprover-community.github.io/mathlib_docs/algebra/ring/defs.html#ring)
[Q3406712](https://www.wikidata.org/wiki/Q3406712),[Product of rings](https://leanprover-community.github.io/mathlib_docs/algebra/ring/pi.html#pi.ring)
[Q863912](https://www.wikidata.org/wiki/Q863912),[Prime ideals](https://leanprover-community.github.io/mathlib_docs/ring_theory/ideal/basic.html#ideal.is_prime)
[Q193878](https://www.wikidata.org/wiki/Q193878),[Chinese remainder theorem](https://leanprover-community.github.io/mathlib_docs/ring_theory/ideal/quotient.html#ideal.quotient_inf_ring_equiv_pi_quotient)
[Q131752](https://www.wikidata.org/wiki/Q131752),[Greatest common divisor](https://leanprover-community.github.io/mathlib_docs/algebra/gcd_monoid/basic.html#gcd_monoid.gcd)
[Q102761](https://www.wikidata.org/wiki/Q102761),[Least common multiple](https://leanprover-community.github.io/mathlib_docs/algebra/gcd_monoid/basic.html#gcd_monoid.lcm)
[Q1143969](https://www.wikidata.org/wiki/Q1143969),[Principal ideal domain](https://leanprover-community.github.io/mathlib_docs/ring_theory/principal_ideal_domain.html#submodule.is_principal)
[Q49008](https://www.wikidata.org/wiki/Q49008),[Prime numbers](https://leanprover-community.github.io/mathlib_docs/algebra/associated.html#prime)
[Q513028](https://www.wikidata.org/wiki/Q513028),[Bézout's identity](https://leanprover-community.github.io/mathlib_docs/ring_theory/principal_ideal_domain.html#exists_gcd_eq_mul_add_mul)
[Q1476663](https://www.wikidata.org/wiki/Q1476663),[Irreducible polynomial](https://leanprover-community.github.io/mathlib_docs/algebra/associated.html#irreducible)
