Wikidata ID,mathlib
[Q1353233](https://www.wikidata.org/wiki/Q1353233),[conjugacy classes](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Conj.html#ConjClasses)
[Q245462](https://www.wikidata.org/wiki/Q245462),[cyclic group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Defs.html#IsCyclic)
[Q1412905](https://www.wikidata.org/wiki/Q1412905),[permutation group of a type](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Logic/Equiv/Defs.html#Equiv.Perm)
[Q7512811](https://www.wikidata.org/wiki/Q7512811),[signature](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/Perm/Sign.html#Equiv.Perm.sign)
[Q438814](https://www.wikidata.org/wiki/Q438814),[alternating group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/SpecificGroups/Alternating.html#alternatingGroup)
[Q524607](https://www.wikidata.org/wiki/Q524607),[general linear group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/GeneralLinearGroup.html#LinearMap.GeneralLinearGroup)
[Q2140900](https://www.wikidata.org/wiki/Q2140900),[special linear group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/SpecialLinearGroup.html#Matrix.SpecialLinearGroup)
[Q1783179](https://www.wikidata.org/wiki/Q1783179),[orthogonal group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.orthogonalGroup)
[Q1500617](https://www.wikidata.org/wiki/Q1500617),[unitary group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.unitaryGroup)
[Q161172](https://www.wikidata.org/wiki/Q161172),[ring](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Defs.html#Ring)
[Q929536](https://www.wikidata.org/wiki/Q929536),[subrings](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Subring/Defs.html#Subring)
[Q1194212](https://www.wikidata.org/wiki/Q1194212),[ring morphisms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Hom/Defs.html#RingHom)
[Q3406712](https://www.wikidata.org/wiki/Q3406712),[product of rings](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Pi.html#Pi.ring)
[Q619436](https://www.wikidata.org/wiki/Q619436),[quotient rings](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Quotient/Defs.html#Ideal.instHasQuotient)
[Q863912](https://www.wikidata.org/wiki/Q863912),[prime ideals](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Prime.html#Ideal.IsPrime)
[Q1203540](https://www.wikidata.org/wiki/Q1203540),[maximal ideals](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Maximal.html#Ideal.IsMaximal)
[Q2989575](https://www.wikidata.org/wiki/Q2989575),[irreducible elements](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Irreducible)
[Q118084](https://www.wikidata.org/wiki/Q118084),[invertible elements](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Invertible/Defs.html#Invertible)
[Q1052579](https://www.wikidata.org/wiki/Q1052579),[unique factorisation domain (UFD)](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/UniqueFactorizationDomain/Defs.html#UniqueFactorizationMonoid)
[Q131752](https://www.wikidata.org/wiki/Q131752),[greatest common divisor](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.gcd)
[Q102761](https://www.wikidata.org/wiki/Q102761),[least common multiple](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.lcm)
[Q1143969](https://www.wikidata.org/wiki/Q1143969),[principal ideal domain](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Span/Defs.html#Submodule.IsPrincipal)
[Q867345](https://www.wikidata.org/wiki/Q867345),[Euclidean rings](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/EuclideanDomain/Defs.html#EuclideanDomain)
[Q230848](https://www.wikidata.org/wiki/Q230848),[Euclid's' algorithm](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Int/GCD.html#Nat.xgcd)
[Q49008](https://www.wikidata.org/wiki/Q49008),[prime numbers](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Prime)
[Q1476663](https://www.wikidata.org/wiki/Q1476663),[irreducible polynomial](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Irreducible)
[Q214604](https://www.wikidata.org/wiki/Q214604),[roots of a polynomial](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Polynomial/Roots.html#Polynomial.roots)
[Q2228257](https://www.wikidata.org/wiki/Q2228257),[multiplicity](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Polynomial/Div.html#Polynomial.rootMultiplicity)
[Q1749812](https://www.wikidata.org/wiki/Q1749812),[Newton's identities](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/MvPolynomial/Symmetric/NewtonIdentities.html#MvPolynomial.mul_esymm_eq_sum)
[Q930499](https://www.wikidata.org/wiki/Q930499),[symmetric polynomials](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/MvPolynomial/Symmetric/Defs.html#MvPolynomial.IsSymmetric)
[Q190109](https://www.wikidata.org/wiki/Q190109),[fields](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Field/Defs.html#Field)
[Q836088](https://www.wikidata.org/wiki/Q836088),[characteristic of a ring](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharP/Defs.html#ringChar)
[Q836088](https://www.wikidata.org/wiki/Q836088),[characteristic zero](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharZero/Defs.html#CharZero)
[Q836088](https://www.wikidata.org/wiki/Q836088),[characteristic p](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharP/Defs.html#CharP)
[Q577835](https://www.wikidata.org/wiki/Q577835),[Subfields](https://leanprover-community.github.io//mathlib4_docs/field_theory/subfield.html)
[Q769124](https://www.wikidata.org/wiki/Q769124),[Frobenius morphisms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/CharP/Lemmas.html#frobenius)
[Q1047547](https://www.wikidata.org/wiki/Q1047547),[$\C$ is algebraically closed](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Complex/Polynomial/Basic.html#Complex.exists_root)
[Q162608](https://www.wikidata.org/wiki/Q162608),[algebraic elements](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#IsAlgebraic)
[Q162608](https://www.wikidata.org/wiki/Q162608),[transcendental elements](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#Transcendental)
[Q550791](https://www.wikidata.org/wiki/Q550791),[algebraic extensions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Algebraic/Defs.html#Algebra.IsAlgebraic)
[Q1047547](https://www.wikidata.org/wiki/Q1047547),[algebraically closed fields](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/FieldTheory/IsAlgClosed/Basic.html#IsAlgClosed)
[Q2997763](https://www.wikidata.org/wiki/Q2997763),[rupture fields](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/AdjoinRoot.html#AdjoinRoot)
[Q1996100](https://www.wikidata.org/wiki/Q1996100),[splitting fields](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/FieldTheory/SplittingField/Construction.html#Polynomial.SplittingField)
[Q603880](https://www.wikidata.org/wiki/Q603880),[finite fields](https://leanprover-community.github.io//mathlib4_docs/field_theory/finite.html)
[Q837924](https://www.wikidata.org/wiki/Q837924),[bilinear forms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearMap.html#LinearMap.BilinForm)
[Q837924](https://www.wikidata.org/wiki/Q837924),[alternating bilinear forms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.IsAlt)
[Q2100018](https://www.wikidata.org/wiki/Q2100018),[symmetric bilinear forms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.IsSymm)
[Q27961566](https://www.wikidata.org/wiki/Q27961566),[nondegenerate forms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.Nondegenerate)
[Q6787889](https://www.wikidata.org/wiki/Q6787889),[matrix representation](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/BilinearForm.html#BilinForm.toMatrix)
[Q11210](https://www.wikidata.org/wiki/Q11210),[change of coordinates](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/BilinearForm.html#BilinForm.toMatrix_comp)
[Q736753](https://www.wikidata.org/wiki/Q736753),[quadratic form](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/QuadraticForm/Basic.html#QuadraticForm)
[Q1017106](https://www.wikidata.org/wiki/Q1017106),[adjoint endomorphism](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/BilinearForm/Properties.html#LinearMap.BilinForm.leftAdjointOfNondegenerate)
