Wikidata ID,mathlib
[Q752487](https://www.wikidata.org/wiki/Q752487),[dual space](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Normed/Module/Dual.html#NormedSpace.Dual)
[Q214159](https://www.wikidata.org/wiki/Q214159),[inner product space $l^2$](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/l2Space.html#lp.instInnerProductSpace)
[Q9993851](https://www.wikidata.org/wiki/Q9993851),[Lax-Milgram theorem](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/LaxMilgram.html#IsCoercive.continuousLinearEquivOfBilin)
[Q207455](https://www.wikidata.org/wiki/Q207455),[chain rule](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/FDeriv/Comp.html#fderiv.comp)
[Q783507](https://www.wikidata.org/wiki/Q783507),[differentiable functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/FDeriv/Basic.html#Differentiable)
[Q186475](https://www.wikidata.org/wiki/Q186475),[partial derivatives commute](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/FDeriv/Symmetric.html#second_derivative_symmetric)
[Q845060](https://www.wikidata.org/wiki/Q845060),[local extrema](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Calculus/LocalExtr/Basic.html#IsLocalMin.fderiv_eq_zero)
[Q1058314](https://www.wikidata.org/wiki/Q1058314),[diffeomorphisms](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Geometry/Manifold/ChartedSpace.html#Structomorph)
[Q3058218](https://www.wikidata.org/wiki/Q3058218),[measurable spaces](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/MeasurableSpace/Defs.html#MeasurableSpace)
[Q217357](https://www.wikidata.org/wiki/Q217357),[sigma-algebras](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/MeasurableSpace/Defs.html#MeasurableSpace)
[Q1080067](https://www.wikidata.org/wiki/Q1080067),[Borel sigma-algebras](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Constructions/BorelSpace/Basic.html#BorelSpace)
[Q192276](https://www.wikidata.org/wiki/Q192276),[positive measure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Measure/MeasureSpaceDef.html#MeasureTheory.Measure)
[Q247204](https://www.wikidata.org/wiki/Q247204),[counting measure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Measure/Count.html#MeasureTheory.Measure.count)
[Q827230](https://www.wikidata.org/wiki/Q827230),[Lebesgue measure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Measure/MeasureSpaceDef.html#MeasureTheory.MeasureSpace)
[Q1572094](https://www.wikidata.org/wiki/Q1572094),[product measure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/MeasurableSpace/Basic.html#MeasurableSpace.pi)
[Q516776](https://www.wikidata.org/wiki/Q516776),[measurable functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/MeasurableSpace/Defs.html#Measurable)
[Q80091](https://www.wikidata.org/wiki/Q80091),[integrable functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Function/L1Space.html#MeasureTheory.Integrable)
[Q210857](https://www.wikidata.org/wiki/Q210857),[convolution](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convolution.html#MeasureTheory.convolution)
[Q355020](https://www.wikidata.org/wiki/Q355020),[probability measure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Measure/Typeclasses.html#MeasureTheory.IsProbabilityMeasure)
[Q625303](https://www.wikidata.org/wiki/Q625303),[independent events](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/Independence/Basic.html#ProbabilityTheory.iIndepSet)
[Q217357](https://www.wikidata.org/wiki/Q217357),[sigma-algebra](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/MeasurableSpace/Defs.html#MeasurableSpace)
[Q327069](https://www.wikidata.org/wiki/Q327069),[conditional probability](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/ConditionalProbability.html#ProbabilityTheory.cond)
[Q207522](https://www.wikidata.org/wiki/Q207522),[probability density function](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/Density.html#MeasureTheory.HasPDF)
[Q625303](https://www.wikidata.org/wiki/Q625303),[independence of random variables](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/Independence/Basic.html#ProbabilityTheory.iIndepFun)
[Q638982](https://www.wikidata.org/wiki/Q638982),[moments](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/Moments.html#ProbabilityTheory.moment)
[Q181328](https://www.wikidata.org/wiki/Q181328),[Bernoulli law](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/ProbabilityMassFunction/Constructions.html#PMF.bernoulli)
[Q578985](https://www.wikidata.org/wiki/Q578985),[convergence in probability](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Function/ConvergenceInMeasure.html#MeasureTheory.TendstoInMeasure)
[Q578985](https://www.wikidata.org/wiki/Q578985),[almost surely convergence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/OuterMeasure/AE.html#MeasureTheory.ae)
[Q842436](https://www.wikidata.org/wiki/Q842436),[Markov inequality](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Integral/Lebesgue.html#MeasureTheory.mul_meas_ge_le_lintegral)
[Q249514](https://www.wikidata.org/wiki/Q249514),[Chebychev inequality](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/Variance.html#ProbabilityTheory.meas_ge_le_variance_div_sq)
[Q1756677](https://www.wikidata.org/wiki/Q1756677),[stability by derivation](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Distribution/SchwartzSpace.html#SchwartzMap.fderivCLM)
[Q861606](https://www.wikidata.org/wiki/Q861606),[Lagrange interpolation](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Lagrange.html#Lagrange.interpolate)
