Wikidata ID,Context
[Q386320](https://www.wikidata.org/wiki/Q386320),[represented by](https://mathgloss.github.io/MathGloss/context/represented_by)
[Q7451799](https://www.wikidata.org/wiki/Q7451799),[separating set](https://mathgloss.github.io/MathGloss/context/separating_set)
[Q2634828](https://www.wikidata.org/wiki/Q2634828),[inverse limit](https://mathgloss.github.io/MathGloss/context/inverse_limit)
[Q1080547](https://www.wikidata.org/wiki/Q1080547),[truncation](https://mathgloss.github.io/MathGloss/context/truncation)
[Q6101219](https://www.wikidata.org/wiki/Q6101219),[localization](https://mathgloss.github.io/MathGloss/context/localization)
[Q6086107](https://www.wikidata.org/wiki/Q6086107),[isomorphism of categories](https://mathgloss.github.io/MathGloss/context/isomorphism_of_categories)
[Q4227156](https://www.wikidata.org/wiki/Q4227156),[coinduction](https://mathgloss.github.io/MathGloss/context/coinduction)
[Q2007878](https://www.wikidata.org/wiki/Q2007878),[functor category](https://mathgloss.github.io/MathGloss/context/functor_category)
[Q1442189](https://www.wikidata.org/wiki/Q1442189),[natural transformation](https://mathgloss.github.io/MathGloss/context/natural_transformation)
[Q3055409](https://www.wikidata.org/wiki/Q3055409),[split](https://mathgloss.github.io/MathGloss/context/split)
[Q17736](https://www.wikidata.org/wiki/Q17736),[axioms](https://mathgloss.github.io/MathGloss/context/axioms)
[Q1084766](https://www.wikidata.org/wiki/Q1084766),[abstract nonsense](https://mathgloss.github.io/MathGloss/context/abstract_nonsense)
[Q5051844](https://www.wikidata.org/wiki/Q5051844),[category of elements](https://mathgloss.github.io/MathGloss/context/category_of_elements)
[Q381725](https://www.wikidata.org/wiki/Q381725),[exact](https://mathgloss.github.io/MathGloss/context/exact)
[Q1076611](https://www.wikidata.org/wiki/Q1076611),[lim inf](https://mathgloss.github.io/MathGloss/context/lim_inf)
[Q5572389](https://www.wikidata.org/wiki/Q5572389),[sheafification](https://mathgloss.github.io/MathGloss/context/sheafification)
[Q1397439](https://www.wikidata.org/wiki/Q1397439),[fiber product](https://mathgloss.github.io/MathGloss/context/fiber_product)
[Q506041](https://www.wikidata.org/wiki/Q506041),[Jacobian matrix](https://mathgloss.github.io/MathGloss/context/Jacobian_matrix)
[Q1948412](https://www.wikidata.org/wiki/Q1948412),[identity morphism](https://mathgloss.github.io/MathGloss/context/identity_morphism)
[Q189112](https://www.wikidata.org/wiki/Q189112),[isomorphism](https://mathgloss.github.io/MathGloss/context/isomorphism)
[Q1331373](https://www.wikidata.org/wiki/Q1331373),[inaccessible cardinals](https://mathgloss.github.io/MathGloss/context/inaccessible_cardinals)
[Q17099363](https://www.wikidata.org/wiki/Q17099363),[nerve](https://mathgloss.github.io/MathGloss/context/nerve)
[Q1082992](https://www.wikidata.org/wiki/Q1082992),[equivalence of categories](https://mathgloss.github.io/MathGloss/context/equivalence_of_categories)
[Q834585](https://www.wikidata.org/wiki/Q834585),[meet semilattice](https://mathgloss.github.io/MathGloss/context/meet_semilattice)
[Q2015432](https://www.wikidata.org/wiki/Q2015432),[free loop space](https://mathgloss.github.io/MathGloss/context/free_loop_space)
[Q1269](https://www.wikidata.org/wiki/Q1269),[preserves](https://mathgloss.github.io/MathGloss/context/preserves)
[Q60790315](https://www.wikidata.org/wiki/Q60790315),[automorphism group](https://mathgloss.github.io/MathGloss/context/automorphism_group)
[Q3606768](https://www.wikidata.org/wiki/Q3606768),[propositional function](https://mathgloss.github.io/MathGloss/context/propositional_function)
[Q1224487](https://www.wikidata.org/wiki/Q1224487),[parallel pair](https://mathgloss.github.io/MathGloss/context/parallel_pair)
[Q5140810](https://www.wikidata.org/wiki/Q5140810),[coequalizer](https://mathgloss.github.io/MathGloss/context/coequalizer)
[Q318737](https://www.wikidata.org/wiki/Q318737),[abelian category](https://mathgloss.github.io/MathGloss/context/abelian_category)
[Q3058218](https://www.wikidata.org/wiki/Q3058218),[measurable](https://mathgloss.github.io/MathGloss/context/measurable)
[Q5500202](https://www.wikidata.org/wiki/Q5500202),[free category](https://mathgloss.github.io/MathGloss/context/free_category)
[Q584521](https://www.wikidata.org/wiki/Q584521),[homeomorphisms](https://mathgloss.github.io/MathGloss/context/homeomorphisms)
[Q2293759](https://www.wikidata.org/wiki/Q2293759),[torsion subgroup](https://mathgloss.github.io/MathGloss/context/torsion_subgroup)
[Q864475](https://www.wikidata.org/wiki/Q864475),[covariant](https://mathgloss.github.io/MathGloss/context/covariant)
[Q860530](https://www.wikidata.org/wiki/Q860530),[image](https://mathgloss.github.io/MathGloss/context/image)
[Q529752](https://www.wikidata.org/wiki/Q529752),[terminal category](https://mathgloss.github.io/MathGloss/context/terminal_category)
[Q1143328](https://www.wikidata.org/wiki/Q1143328),[chain complex](https://mathgloss.github.io/MathGloss/context/chain_complex)
[Q1780005](https://www.wikidata.org/wiki/Q1780005),[over](https://mathgloss.github.io/MathGloss/context/over)
[Q48996306](https://www.wikidata.org/wiki/Q48996306),[density theorem](https://mathgloss.github.io/MathGloss/context/density_theorem)
[Q2099981](https://www.wikidata.org/wiki/Q2099981),[additive](https://mathgloss.github.io/MathGloss/context/additive)
[Q1425985](https://www.wikidata.org/wiki/Q1425985),[preorder](https://mathgloss.github.io/MathGloss/context/preorder)
[Q386320](https://www.wikidata.org/wiki/Q386320),[representation](https://mathgloss.github.io/MathGloss/context/representation)
[Q1630568](https://www.wikidata.org/wiki/Q1630568),[monadic adjunction](https://mathgloss.github.io/MathGloss/context/monadic_adjunction)
[Q864475](https://www.wikidata.org/wiki/Q864475),[contravariant functor](https://mathgloss.github.io/MathGloss/context/contravariant_functor)
[Q1366002](https://www.wikidata.org/wiki/Q1366002),[path](https://mathgloss.github.io/MathGloss/context/path)
[Q1780005](https://www.wikidata.org/wiki/Q1780005),[slice category](https://mathgloss.github.io/MathGloss/context/slice_category)
[Q381725](https://www.wikidata.org/wiki/Q381725),[left exact](https://mathgloss.github.io/MathGloss/context/left_exact)
[Q934367](https://www.wikidata.org/wiki/Q934367),[function spaces](https://mathgloss.github.io/MathGloss/context/function_spaces)
[Q595298](https://www.wikidata.org/wiki/Q595298),[sheaf](https://mathgloss.github.io/MathGloss/context/sheaf)
[Q382698](https://www.wikidata.org/wiki/Q382698),[affine space](https://mathgloss.github.io/MathGloss/context/affine_space)
[Q906456](https://www.wikidata.org/wiki/Q906456),[finest](https://mathgloss.github.io/MathGloss/context/finest)
[Q1640811](https://www.wikidata.org/wiki/Q1640811),[fiber](https://mathgloss.github.io/MathGloss/context/fiber)
[Q834585](https://www.wikidata.org/wiki/Q834585),[join semilattice](https://mathgloss.github.io/MathGloss/context/join_semilattice)
[Q765994](https://www.wikidata.org/wiki/Q765994),[simplex category](https://mathgloss.github.io/MathGloss/context/simplex_category)
[Q1144925](https://www.wikidata.org/wiki/Q1144925),[currying](https://mathgloss.github.io/MathGloss/context/currying)
[Q381725](https://www.wikidata.org/wiki/Q381725),[right exact](https://mathgloss.github.io/MathGloss/context/right_exact)
[Q215111](https://www.wikidata.org/wiki/Q215111),[homomorphisms](https://mathgloss.github.io/MathGloss/context/homomorphisms)
[Q288465](https://www.wikidata.org/wiki/Q288465),[stabilizer](https://mathgloss.github.io/MathGloss/context/stabilizer)
[Q4672496](https://www.wikidata.org/wiki/Q4672496),[locally presentable categories](https://mathgloss.github.io/MathGloss/context/locally_presentable_categories)
[Q4672496](https://www.wikidata.org/wiki/Q4672496),[accessible](https://mathgloss.github.io/MathGloss/context/accessible)
[Q719395](https://www.wikidata.org/wiki/Q719395),[category](https://mathgloss.github.io/MathGloss/context/category)
[Q10564851](https://www.wikidata.org/wiki/Q10564851),[closure](https://mathgloss.github.io/MathGloss/context/closure)
[Q719395](https://www.wikidata.org/wiki/Q719395),[small category](https://mathgloss.github.io/MathGloss/context/small_category)
[Q2785361](https://www.wikidata.org/wiki/Q2785361),[monoid](https://mathgloss.github.io/MathGloss/context/monoid)
[Q145825](https://www.wikidata.org/wiki/Q145825),[nadir](https://mathgloss.github.io/MathGloss/context/nadir)
[Q1417809](https://www.wikidata.org/wiki/Q1417809),[universal](https://mathgloss.github.io/MathGloss/context/universal)
[Q1575634](https://www.wikidata.org/wiki/Q1575634),[concrete category](https://mathgloss.github.io/MathGloss/context/concrete_category)
[Q1442189](https://www.wikidata.org/wiki/Q1442189),[components](https://mathgloss.github.io/MathGloss/context/components)
[Q320357](https://www.wikidata.org/wiki/Q320357),[closed](https://mathgloss.github.io/MathGloss/context/closed)
[Q386320](https://www.wikidata.org/wiki/Q386320),[universal element](https://mathgloss.github.io/MathGloss/context/universal_element)
[Q147978](https://www.wikidata.org/wiki/Q147978),[Zariski topology](https://mathgloss.github.io/MathGloss/context/Zariski_topology)
[Q522216](https://www.wikidata.org/wiki/Q522216),[abelianization](https://mathgloss.github.io/MathGloss/context/abelianization)
[Q1630568](https://www.wikidata.org/wiki/Q1630568),[monadic](https://mathgloss.github.io/MathGloss/context/monadic)
[Q16858946](https://www.wikidata.org/wiki/Q16858946),[extension of scalars](https://mathgloss.github.io/MathGloss/context/extension_of_scalars)
[Q719395](https://www.wikidata.org/wiki/Q719395),[locally small](https://mathgloss.github.io/MathGloss/context/locally_small)
[Q6671777](https://www.wikidata.org/wiki/Q6671777),[structures](https://mathgloss.github.io/MathGloss/context/structures)
