Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q1028292,Grover's algorithm,,,,,,,,,,,Grover's algorithm,https://ncatlab.org/nlab/show/Grover%27s+algorithm,,,https://en.wikipedia.org/wiki/Grover%27s%20algorithm
Q10286397,Kuratowski closure axioms,,,,,,,,,,,,,closure axioms,http://planetmath.org/closureaxioms,https://en.wikipedia.org/wiki/Kuratowski%20closure%20axioms
Q10289,Barrels,,,,,,,,,,,,,barrel,http://planetmath.org/barrel,https://en.wikipedia.org/wiki/Barrel
Q10290214,Event (probability theory),,,,,,,,,,,,,random event,http://planetmath.org/randomevent,https://en.wikipedia.org/wiki/Event%20%28probability%20theory%29
Q10292020,Linearly ordered group,,,,,,,,,,,totally ordered abelian group,https://ncatlab.org/nlab/show/totally+ordered+abelian+group,,,https://en.wikipedia.org/wiki/Linearly%20ordered%20group
Q1032070,Coherent state,,,,,,,,,,,coherent state,https://ncatlab.org/nlab/show/coherent+state,,,https://en.wikipedia.org/wiki/Coherent%20state
Q1032886,Hales–Jewett theorem,,,,,,,,,Hales-Jewett theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Combinatorics/HalesJewett.html#Combinatorics.Line.exists_mono_in_high_dimension,,,,,https://en.wikipedia.org/wiki/Hales%E2%80%93Jewett%20theorem
Q1033772,Happy ending problem,,,,,,,,,,,,,happy ending problem,http://planetmath.org/happyendingproblem,https://en.wikipedia.org/wiki/Happy%20ending%20problem
Q1033906,Pairing function,,,,,,,,,,,,,pairing function,http://planetmath.org/pairingfunction,https://en.wikipedia.org/wiki/Pairing%20function
Q1033910,Schroeder-Bernstein theorem,,,,,,,,,,,Cantor-Schroeder-Bernstein theorem,https://ncatlab.org/nlab/show/Cantor-Schroeder-Bernstein+theorem,Schröder-Bernstein theorem,http://planetmath.org/schroderbernsteintheorem,https://en.wikipedia.org/wiki/Schr%C3%B6der%E2%80%93Bernstein%20theorem
Q1033930,Psychopathy Checklist,,,,,,,,,,,,,p test,http://planetmath.org/ptest,https://en.wikipedia.org/wiki/Psychopathy%20Checklist
Q1034411,Efficiency,,,,,,,,,,,,,efficiency,http://planetmath.org/efficiency,https://en.wikipedia.org/wiki/Efficiency
Q103517,Alpha ray,,,,,,,,,,,alpha particle,https://ncatlab.org/nlab/show/alpha+particle,,,https://en.wikipedia.org/wiki/Alpha%20particle
Q103585,Graviton,,,,,,,,,,,graviton,https://ncatlab.org/nlab/show/graviton,,,https://en.wikipedia.org/wiki/Graviton
Q10359539,Unitary representation,,,,,,,,,,,unitary representation,https://ncatlab.org/nlab/show/unitary+representation,unitary representation,http://planetmath.org/unitaryrepresentation,https://en.wikipedia.org/wiki/Unitary%20representation
Q10364247,Rhomboid,,,,,,,,,,,,,rhomboid,http://planetmath.org/rhomboid,https://en.wikipedia.org/wiki/Rhomboid
Q1036452,Method of undetermined coefficients,,,,,,,,,,,,,method of undetermined coefficients,http://planetmath.org/methodofundeterminedcoefficients,https://en.wikipedia.org/wiki/Method%20of%20undetermined%20coefficients
Q10370880,Hilbert's sixth problem,,,,,,,,,,,Hilbert's sixth problem,https://ncatlab.org/nlab/show/Hilbert%27s+sixth+problem,,,https://en.wikipedia.org/wiki/Hilbert%27s%20sixth%20problem
Q1037559,Polya's formula,,,,,,,,,,,Pólya enumeration theorem,https://ncatlab.org/nlab/show/P%C3%B3lya+enumeration+theorem,,,https://en.wikipedia.org/wiki/P%C3%B3lya%20enumeration%20theorem
Q1038716,Identity theorem,,,,,,,,,,,,,identity theorem,http://planetmath.org/identitytheorem,https://en.wikipedia.org/wiki/Identity%20theorem
Q103927515,,,,,,categories:full-subcategories,https://www.clowderproject.com/tag/00XE.html,,,,,,,,,
Q1041630,Skyrmion,,,,,,,,,,,skyrmion,https://ncatlab.org/nlab/show/skyrmion,,,https://en.wikipedia.org/wiki/Skyrmion
Q1043778,Carmichael function,,,,,,,,,,,,,Carmichael function,http://planetmath.org/carmichaelfunction,https://en.wikipedia.org/wiki/Carmichael%20function
Q1045966,Central binomial coefficient,,,,,,,,,,,,,central binomial coefficient,http://planetmath.org/centralbinomialcoefficient,https://en.wikipedia.org/wiki/Central%20binomial%20coefficient
Q1046291,Topological group,topological group,https://arxiv.org/pdf/1612.09375#page=44,topological group,https://mathgloss.github.io/MathGloss/chicago/topological_group,,,,,topological group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Group/Defs.html#IsTopologicalGroup,topological group,https://ncatlab.org/nlab/show/topological+group,topological group,http://planetmath.org/topologicalgroup,https://en.wikipedia.org/wiki/Topological%20group
Q1046569,Seven segment display,,,,,,,,,,,,,seven-segment display,http://planetmath.org/sevensegmentdisplay,https://en.wikipedia.org/wiki/Seven-segment%20display
Q1046711,Mangoldt summatory function,,,,,,,,,,,,,Mangoldt summatory function,http://planetmath.org/mangoldtsummatoryfunction,https://en.wikipedia.org/wiki/Chebyshev%20function
