Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link,Wikipedia Link
Q1189744,Pfaffian,,,,,,,,,,,Pfaffian,https://ncatlab.org/nlab/show/Pfaffian,Pfaffian,http://planetmath.org/pfaffian,https://en.wikipedia.org/wiki/Pfaffian
Q1189746,Denotational semantics,,,,,,,,,,,denotational semantics,https://ncatlab.org/nlab/show/denotational+semantics,,,https://en.wikipedia.org/wiki/Denotational%20semantics
Q1190223,Nondeterministic Turing machine,,,,,,,,,,,,,non-deterministic Turing machine,http://planetmath.org/nondeterministicturingmachine,https://en.wikipedia.org/wiki/Nondeterministic%20Turing%20machine
Q1190543,Power rule,,,,,,,,,,,,,power rule,http://planetmath.org/powerrule,https://en.wikipedia.org/wiki/Power%20rule
Q1190600,Kerr-Newman black hole,,,,,,,,,,,Kerr-Schild spacetime,https://ncatlab.org/nlab/show/Kerr-Schild+spacetime,,,https://en.wikipedia.org/wiki/Kerr%E2%80%93Newman%20metric
Q1190859,Electromagnetic four-potential,,,,,,,,,,,electromagnetic potential,https://ncatlab.org/nlab/show/electromagnetic+potential,,,https://en.wikipedia.org/wiki/Electromagnetic%20four-potential
Q1191147,Net (mathematics),,,,,,,,,,,net,https://ncatlab.org/nlab/show/net,ultranet,http://planetmath.org/ultranet,https://en.wikipedia.org/wiki/Net%20%28mathematics%29
Q1191211,Cosmic censorship hypothesis,,,,,,,,,,,cosmic censorship hypothesis,https://ncatlab.org/nlab/show/cosmic+censorship+hypothesis,,,https://en.wikipedia.org/wiki/Cosmic%20censorship%20hypothesis
Q1191271,Conformal field theory,,,,,,,,,,,conformal field theory,https://ncatlab.org/nlab/show/conformal+field+theory,,,https://en.wikipedia.org/wiki/Conformal%20field%20theory
Q1191319,Radon–Nikodym theorem,,,Radon-Nikodym derivative,https://mathgloss.github.io/MathGloss/chicago/radon-nikodym_derivative,,,,,,,Radon–Nikodym derivative,https://ncatlab.org/nlab/show/Radon%E2%80%93Nikodym+derivative,Radon-Nikodym theorem,http://planetmath.org/radonnikodymtheorem,https://en.wikipedia.org/wiki/Radon%E2%80%93Nikodym%20theorem
Q1191433,Tychonov space,,,,,,,,,,,Tychonoff space,https://ncatlab.org/nlab/show/Tychonoff+space,Tychonoff space,http://planetmath.org/tychonoffspace,https://en.wikipedia.org/wiki/Tychonoff%20space
Q1191722,Matrix exponential,,,,,,,,,,,,,matrix exponential,http://planetmath.org/matrixexponential,https://en.wikipedia.org/wiki/Matrix%20exponential
Q1191836,Probabilistic Turing machine,,,,,,,,,,,,,random Turing machine,http://planetmath.org/randomturingmachine,https://en.wikipedia.org/wiki/Probabilistic%20Turing%20machine
Q1191895,Conjugate gradient method,,,,,,,,,,,,,conjugate gradient algorithm,http://planetmath.org/conjugategradientalgorithm,https://en.wikipedia.org/wiki/Conjugate%20gradient%20method
Q1192020,Aronszajn tree,,,,,,,,,,,,,Aronszajn tree,http://planetmath.org/aronszajntree,https://en.wikipedia.org/wiki/Aronszajn%20tree
Q1192209,Stationary process,,,,,,,,,,,stationary stochastic process,https://ncatlab.org/nlab/show/stationary+stochastic+process,stationary process,http://planetmath.org/stationaryprocess,https://en.wikipedia.org/wiki/Stationary%20process
Q1192869,Dirichlet problem,,,,,,,,,,,,,Dirichlet problem,http://planetmath.org/dirichletproblem,https://en.wikipedia.org/wiki/Dirichlet%20problem
Q1192873,Yang–Mills Theory,,,,,,,,,,,Yang-Mills theory,https://ncatlab.org/nlab/show/Yang-Mills+theory,,,https://en.wikipedia.org/wiki/Yang%E2%80%93Mills%20theory
Q1192916,Instanton,,,,,,,,,,,Yang-Mills instanton,https://ncatlab.org/nlab/show/Yang-Mills+instanton,,,https://en.wikipedia.org/wiki/Instanton
Q1193090,Dilaton,,,,,,,,,,,dilaton,https://ncatlab.org/nlab/show/dilaton,,,https://en.wikipedia.org/wiki/Dilaton
Q1193095,Coupling constant,,,,,,,,,,,coupling constants,https://ncatlab.org/nlab/show/coupling+constants,,,https://en.wikipedia.org/wiki/Coupling%20constant
Q1193137,Regular cardinal,,,,,,,regular cardinal,https://emilyriehl.github.io/files/context.pdf#page=170,,,regular cardinal,https://ncatlab.org/nlab/show/regular+cardinal,,,https://en.wikipedia.org/wiki/Regular%20cardinal
Q1193188,Gravitino,,,,,,,,,,,gravitino,https://ncatlab.org/nlab/show/gravitino,,,https://en.wikipedia.org/wiki/Gravitino
Q1193403,Regular space,,,,,,,,,extension by continuity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/DenseEmbedding.html#IsDenseInducing.extend,regular space,https://ncatlab.org/nlab/show/regular+space,T3 space,http://planetmath.org/t3space,https://en.wikipedia.org/wiki/Regular%20space
Q1193504,Untouchable number,,,,,,,,,,,,,untouchable number,http://planetmath.org/untouchablenumber,https://en.wikipedia.org/wiki/Untouchable%20number
Q1193821,Quantum fluctuation,,,,,,,,,,,quantum fluctuation,https://ncatlab.org/nlab/show/quantum+fluctuation,,,https://en.wikipedia.org/wiki/Quantum%20fluctuation
Q1193832,Nonnegative number,,,,,,,,,,,positive number,https://ncatlab.org/nlab/show/positive+number,positive,http://planetmath.org/positive,https://en.wikipedia.org/wiki/Sign%20%28mathematics%29
Q1194002,Hypercharge,,,,,,,,,,,hypercharge,https://ncatlab.org/nlab/show/hypercharge,,,https://en.wikipedia.org/wiki/Hypercharge
Q1194053,Metrizable space,,,,,,,,,,,Urysohn metrization theorem,https://ncatlab.org/nlab/show/Urysohn+metrization+theorem,Urysohn metrization theorem,http://planetmath.org/urysohnmetrizationtheorem,https://en.wikipedia.org/wiki/Metrizable%20space
Q1194115,Isosceles trapezoid,,,,,,,,,,,,,isosceles trapezoid,http://planetmath.org/isoscelestrapezoid,https://en.wikipedia.org/wiki/Isosceles%20trapezoid
Q1194212,Ring homomorphism,,,ring homomorphism,https://mathgloss.github.io/MathGloss/chicago/ring_homomorphism,,,,,ring morphism,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Ring/Hom/Defs.html#RingHom,,,ring homomorphism,http://planetmath.org/ringhomomorphism,https://en.wikipedia.org/wiki/Ring%20homomorphism
Q119450,Brianchon's theorem,,,,,,,,,,,,,Brianchon theorem,http://planetmath.org/brianchontheorem,https://en.wikipedia.org/wiki/Brianchon%27s%20theorem
Q11946202,Butterfly,,,,,,,,,,,butterfly,https://ncatlab.org/nlab/show/butterfly,,,https://en.wikipedia.org/wiki/Butterfly
Q1194667,Euler product,,,,,,,,,,,Euler product,https://ncatlab.org/nlab/show/Euler+product,Euler product,http://planetmath.org/eulerproduct,https://en.wikipedia.org/wiki/Euler%20product
Q1194916,Mereology,,,,,,,,,,,mereology,https://ncatlab.org/nlab/show/mereology,,,https://en.wikipedia.org/wiki/Mereology
Q1195511,List of volunteer computing projects,,,,,,,,,,,,,distributed computing project,http://planetmath.org/distributedcomputingproject,https://en.wikipedia.org/wiki/List%20of%20volunteer%20computing%20projects
Q1195852,Center (group theory),centre,https://arxiv.org/pdf/1612.09375#page=34,center of a group,https://mathgloss.github.io/MathGloss/chicago/center_of_a_group,,,center of a group,https://emilyriehl.github.io/files/context.pdf#page=40,,,,,center of a group,http://planetmath.org/centerofagroup,https://en.wikipedia.org/wiki/Center%20%28group%20theory%29
Q1195879,Ricci-curvature,,,,,,,,,,,Ricci curvature,https://ncatlab.org/nlab/show/Ricci+curvature,Ricci tensor,http://planetmath.org/riccitensor,https://en.wikipedia.org/wiki/Ricci%20curvature
Q1196038,Groupoid,,,,,categories:groupoids,https://www.clowderproject.com/tag/00Z5.html,groupoid,https://emilyriehl.github.io/files/context.pdf#page=25,,,Grpd,https://ncatlab.org/nlab/show/Grpd,groupoids,http://planetmath.org/groupoids,https://en.wikipedia.org/wiki/Groupoid
Q1196371,Discrete transformation,,,,,,,,,,,geometric transformation,https://ncatlab.org/nlab/show/geometric+transformation,,,https://en.wikipedia.org/wiki/Geometric%20transformation
Q1196523,Implicit function,,,,,,,,,,,,,implicit differentiation,http://planetmath.org/implicitdifferentiation,https://en.wikipedia.org/wiki/Implicit%20function
Q1196652,Exterior algebra,,,,,,,,,exterior algebra,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/ExteriorAlgebra/Basic.html#ExteriorAlgebra,exterior algebra,https://ncatlab.org/nlab/show/exterior+algebra,exterior algebra,http://planetmath.org/exterioralgebra,https://en.wikipedia.org/wiki/Exterior%20algebra
Q1196843,Palindromic prime,,,,,,,,,,,,,palindromic prime,http://planetmath.org/palindromicprime,https://en.wikipedia.org/wiki/Palindromic%20prime
Q1196881,∴,,,,,,,,,,,,,therefore sign,http://planetmath.org/thereforesign,https://en.wikipedia.org/wiki/Therefore%20sign
Q1196892,Top element,least element,https://arxiv.org/pdf/1612.09375#page=136,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Greatest%20element%20and%20least%20element
Q1197190,Multilinear algebra,,,,,,,,,,,multilinear algebra,https://ncatlab.org/nlab/show/multilinear+algebra,,,https://en.wikipedia.org/wiki/Multilinear%20algebra
Q1198376,Cohomology group,cohomology,https://arxiv.org/pdf/1612.09375#page=32,,,,,cohomology,https://emilyriehl.github.io/files/context.pdf#page=19,,,singular cohomology,https://ncatlab.org/nlab/show/singular+cohomology,,,https://en.wikipedia.org/wiki/Cohomology
Q1199022,Radical of an ideal,,,,,,,,,,,,,radical of an ideal,http://planetmath.org/radicalofanideal,https://en.wikipedia.org/wiki/Radical%20of%20an%20ideal
Q1199125,Repunit,,,,,,,,,,,,,repunit,http://planetmath.org/repunit,https://en.wikipedia.org/wiki/Repunit
Q1199270,Glueball,,,,,,,,,,,glueball,https://ncatlab.org/nlab/show/glueball,,,https://en.wikipedia.org/wiki/Glueball
Q1199602,Shunting yard algorithm,,,,,,,,,,,,,shunting yard algorithm,http://planetmath.org/shuntingyardalgorithm,https://en.wikipedia.org/wiki/Shunting%20yard%20algorithm
Q1199823,Power (statistics),well-powered,https://arxiv.org/pdf/1612.09375#page=176,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Power%20%28statistics%29
Q1200244,E8 (mathematics),,,,,,,,,,,E₈,https://ncatlab.org/nlab/show/E%E2%82%88,,,https://en.wikipedia.org/wiki/E8%20%28mathematics%29
Q1200279,Killing vector,,,,,,,,,,,Killing vector field,https://ncatlab.org/nlab/show/Killing+vector+field,,,https://en.wikipedia.org/wiki/Killing%20vector%20field
Q1200532,Repdigit,,,,,,,,,,,,,repdigit,http://planetmath.org/repdigit,https://en.wikipedia.org/wiki/Repdigit
Q1200755,Descriptive complexity theory,,,,,,,,,,,descriptive complexity,https://ncatlab.org/nlab/show/descriptive+complexity,,,https://en.wikipedia.org/wiki/Descriptive%20complexity%20theory
Q120096770,Circumscribed circle,,,,,,,,,,,,,circumscribe,http://planetmath.org/circumscribe,https://en.wikipedia.org/wiki/Circumscribed%20circle
Q1201087,Detailed balance,,,,,,,,,,,detailed balance,https://ncatlab.org/nlab/show/detailed+balance,,,https://en.wikipedia.org/wiki/Detailed%20balance
Q12012849,Hopf theorem,,,,,,,,,,,,,Hopf theorem,http://planetmath.org/hopftheorem,https://en.wikipedia.org/wiki/Hopf%20theorem
Q12013681,Valuation ring,,,,,,,,,,,valuation ring,https://ncatlab.org/nlab/show/valuation+ring,valuation domain,http://planetmath.org/valuationdomain,https://en.wikipedia.org/wiki/Valuation%20ring
Q1201815,Null set,,,measure zero,https://mathgloss.github.io/MathGloss/chicago/measure_zero,,,,,,,,,measure zero,http://planetmath.org/measurezero,https://en.wikipedia.org/wiki/Null%20set
Q1201922,Wreath,,,,,,,,,,,wreath,https://ncatlab.org/nlab/show/wreath,,,https://en.wikipedia.org/wiki/Wreath
Q120207354,Orthogonal circles,,,,,,,,,,,,,orthogonal circles,http://planetmath.org/orthogonalcircles,https://en.wikipedia.org/wiki/Orthogonal%20circles
Q1202245,Potential,,,,,,,,,,,potential,https://ncatlab.org/nlab/show/potential,,,https://en.wikipedia.org/wiki/Potential
Q1202882,Bosonic string theory,,,,,,,,,,,bosonic string theory,https://ncatlab.org/nlab/show/bosonic+string+theory,,,https://en.wikipedia.org/wiki/Bosonic%20string%20theory
Q1203075,Point symmetry,,,,,,,,,,,point symmetry,https://ncatlab.org/nlab/show/point+symmetry,,,https://en.wikipedia.org/wiki/Point%20reflection
Q1203540,Maximal ideal,,,maximal ring ideal,https://mathgloss.github.io/MathGloss/chicago/maximal_ring_ideal,,,,,maximal ideal,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Ideal/Maximal.html#Ideal.IsMaximal,maximal ideal,https://ncatlab.org/nlab/show/maximal+ideal,maximal ideal,http://planetmath.org/maximalideal,https://en.wikipedia.org/wiki/Maximal%20ideal
Q1203669,Renormalization group,,,,,,,,,,,renormalization group flow,https://ncatlab.org/nlab/show/renormalization+group+flow,,,https://en.wikipedia.org/wiki/Renormalization%20group
Q1203816,Lorentz gauge,,,,,,,,,,,Lorenz gauge,https://ncatlab.org/nlab/show/Lorenz+gauge,,,https://en.wikipedia.org/wiki/Lorenz%20gauge%20condition
Q1205942,Variation of parameters,,,,,,,,,,,,,variation of parameters,http://planetmath.org/variationofparameters,https://en.wikipedia.org/wiki/Variation%20of%20parameters
Q1206311,Quantum logic,,,,,,,,,,,quantum logic,https://ncatlab.org/nlab/show/quantum+logic,quantum logic,http://planetmath.org/quantumlogic,https://en.wikipedia.org/wiki/Quantum%20logic
Q12070446,Model system,,,,,,,,,,,,,system model,http://planetmath.org/systemmodel,https://en.wikipedia.org/wiki/Systems%20modeling
Q120721906,,,,,,categories:fully-faithful-functors,https://www.clowderproject.com/tag/0129.html,,,,,,,,,https://en.wikipedia.org/wiki/Fully%20faithful%20functor
Q1207920,Derangement,,,,,,,,,,,,,derangement,http://planetmath.org/derangement,https://en.wikipedia.org/wiki/Derangement
Q1207972,Polish space,,,,,,,,,,,Polish space,https://ncatlab.org/nlab/show/Polish+space,Polish space,http://planetmath.org/polishspace,https://en.wikipedia.org/wiki/Polish%20space
Q120812,Absolute value,,,absolute value,https://mathgloss.github.io/MathGloss/chicago/absolute_value,,,,,,,absolute value,https://ncatlab.org/nlab/show/absolute+value,modulus of complex number,http://planetmath.org/modulusofcomplexnumber,https://en.wikipedia.org/wiki/Absolute%20value
Q1208187,Diagonal functor,diagonal functor,https://arxiv.org/pdf/1612.09375#page=58,,,,,,,,,diagonal functor,https://ncatlab.org/nlab/show/diagonal+functor,,,https://en.wikipedia.org/wiki/Diagonal%20functor
Q1208658,Ring theory,,,,,,,,,,,ring theory,https://ncatlab.org/nlab/show/ring+theory,,,https://en.wikipedia.org/wiki/Ring%20theory
Q1208706,Newman's lemma,,,,,,,,,,,Newman's lemma,https://ncatlab.org/nlab/show/Newman%27s+lemma,diamond lemma,http://planetmath.org/diamondlemma,https://en.wikipedia.org/wiki/Newman%27s%20lemma
Q120976,Factorial,,,,,,,,,,,factorial,https://ncatlab.org/nlab/show/factorial,factorial,http://planetmath.org/factorial,https://en.wikipedia.org/wiki/Factorial
Q1210082,Tree search algorithm,,,,,,,,,,,,,tree traversals,http://planetmath.org/treetraversals,https://en.wikipedia.org/wiki/Tree%20traversal
Q1210941,Lectures on the Philosophy of World History,,,,,,,,,,,Lectures on the Philosophy of History,https://ncatlab.org/nlab/show/Lectures+on+the+Philosophy+of+History,,,https://en.wikipedia.org/wiki/Lectures%20on%20the%20Philosophy%20of%20World%20History
Q1211057,Convergent series,,,,,,,,,,,convergence,https://ncatlab.org/nlab/show/convergence,convergent series,http://planetmath.org/convergentseries,https://en.wikipedia.org/wiki/Convergent%20series
Q1211071,Equivalence class,,,equivalence class,https://mathgloss.github.io/MathGloss/chicago/equivalence_class,,,,,,,quotient set,https://ncatlab.org/nlab/show/quotient+set,equivalence class,http://planetmath.org/equivalenceclass,https://en.wikipedia.org/wiki/Equivalence%20class
Q121117,Supercomputer,,,,,,,,,,,,,supercomputers,http://planetmath.org/supercomputers,https://en.wikipedia.org/wiki/Supercomputer
Q12134,Celestial sphere,,,,,,,,,,,celestial sphere,https://ncatlab.org/nlab/show/celestial+sphere,,,https://en.wikipedia.org/wiki/Celestial%20sphere
Q12139612,Lists,,,,,introduction:section-lists,https://www.clowderproject.com/tag/01XN.html,,,list,https://leanprover-community.github.io/mathlib4_docs/Init/Prelude.html#List,list,https://ncatlab.org/nlab/show/list,,,https://en.wikipedia.org/wiki/List
Q121416,Applied discrete math,,,,,,,,,,,discrete mathematics,https://ncatlab.org/nlab/show/discrete+mathematics,,,https://en.wikipedia.org/wiki/Discrete%20mathematics
Q12152657,Kleene equality,,,,,,,,,,,Kleene equality,https://ncatlab.org/nlab/show/Kleene+equality,,,https://en.wikipedia.org/wiki/Kleene%20equality
Q12175350,,,,,,categories:faithful-functors,https://www.clowderproject.com/tag/0117.html,,,,,,,,,https://en.wikipedia.org/wiki/Faithful%20functor
Q1217677,The fundamental theorem of calculus,,,,,,,,,,,fundamental theorem of calculus,https://ncatlab.org/nlab/show/fundamental+theorem+of+calculus,fundamental theorem of calculus,http://planetmath.org/fundamentaltheoremofcalculus,https://en.wikipedia.org/wiki/Fundamental%20theorem%20of%20calculus
Q12202238,Transformation (function),,,,,,,,,,,,,transformation,http://planetmath.org/transformation,https://en.wikipedia.org/wiki/Transformation%20%28function%29
Q12204658,Exceptional Jordan algebra,,,,,,,,,,,Albert algebra,https://ncatlab.org/nlab/show/Albert+algebra,,,https://en.wikipedia.org/wiki/Albert%20algebra
Q1220611,Canonical basis,,,,,,,,,,,canonical basis,https://ncatlab.org/nlab/show/canonical+basis,canonical basis,http://planetmath.org/canonicalbasis,https://en.wikipedia.org/wiki/Canonical%20basis
Q122391649,Pointwise product,pointwise,https://arxiv.org/pdf/1612.09375#page=31,,,,,,,,,pointwise order,https://ncatlab.org/nlab/show/pointwise+order,pointwise,http://planetmath.org/pointwise,https://en.wikipedia.org/wiki/Pointwise
Q1224342,Difference list,,,,,,,,,difference list,https://leanprover-community.github.io/mathlib4_docs/Batteries/Data/DList/Basic.html#Batteries.DList,,,,,https://en.wikipedia.org/wiki/Difference%20list
Q1224402,Differential topology,,,,,,,,,,,differential topology,https://ncatlab.org/nlab/show/differential+topology,,,https://en.wikipedia.org/wiki/Differential%20topology
Q12244048,Related rates,,,,,,,,,,,,,related rates,http://planetmath.org/relatedrates,https://en.wikipedia.org/wiki/Related%20rates
Q1224446,Difference quotient,,,,,,,,,,,difference quotient,https://ncatlab.org/nlab/show/difference+quotient,difference quotient,http://planetmath.org/differencequotient,https://en.wikipedia.org/wiki/Difference%20quotient
Q1224487,Equaliser (mathematics),equalizer,https://arxiv.org/pdf/1612.09375#page=120,,,,,equalizer,https://emilyriehl.github.io/files/context.pdf#page=96,,,equalizer,https://ncatlab.org/nlab/show/equalizer,,,https://en.wikipedia.org/wiki/Equaliser%20%28mathematics%29
Q122518,Plane wave,,,,,,,,,,,plane wave,https://ncatlab.org/nlab/show/plane+wave,,,https://en.wikipedia.org/wiki/Plane%20wave
Q1225362,Momentum space,,,,,,,,,,,position space,https://ncatlab.org/nlab/show/position+space,,,https://en.wikipedia.org/wiki/Position%20and%20momentum%20spaces
Q1225713,Krull dimension,,,,,,,,,,,Krull dimension,https://ncatlab.org/nlab/show/Krull+dimension,Krull dimension,http://planetmath.org/krulldimension,https://en.wikipedia.org/wiki/Krull%20dimension
Q1226939,Division (mathematics),,,division in a ring,https://mathgloss.github.io/MathGloss/chicago/division_in_a_ring,,,,,,,division,https://ncatlab.org/nlab/show/division,division,http://planetmath.org/division,https://en.wikipedia.org/wiki/Division%20%28mathematics%29
Q1227387,Dirac measure,,,,,,,,,,,Dirac measure,https://ncatlab.org/nlab/show/Dirac+measure,Dirac measure,http://planetmath.org/diracmeasure,https://en.wikipedia.org/wiki/Dirac%20measure
Q1227685,Dirichlet–Jordan test,,,,,,,,,,,,,Dirichlet conditions,http://planetmath.org/dirichletconditions,https://en.wikipedia.org/wiki/Dirichlet%E2%80%93Jordan%20test
Q1227702,Dirichlet's unit theorem,,,,,,,,,Dirichlet unit theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/NumberField/Units/DirichletTheorem.html#NumberField.Units.exist_unique_eq_mul_prod,regulator of a number field,https://ncatlab.org/nlab/show/regulator+of+a+number+field,regulator,http://planetmath.org/regulator,https://en.wikipedia.org/wiki/Dirichlet%27s%20unit%20theorem
Q1228851,Discrete category,discrete category,https://arxiv.org/pdf/1612.09375#page=21,discrete category,https://mathgloss.github.io/MathGloss/chicago/discrete_category,categories:discrete-categories,https://www.clowderproject.com/tag/00YK.html,discrete category,https://emilyriehl.github.io/files/context.pdf#page=23,,,discrete category,https://ncatlab.org/nlab/show/discrete+category,,,https://en.wikipedia.org/wiki/Discrete%20category
Q1228885,Discriminant of an algebraic number field,,,,,,,,,,,,,root-discriminant,http://planetmath.org/rootdiscriminant,https://en.wikipedia.org/wiki/Discriminant%20of%20an%20algebraic%20number%20field
Q122894,Diracs constant,,,,,,,,,,,Planck's constant,https://ncatlab.org/nlab/show/Planck%27s+constant,,,https://en.wikipedia.org/wiki/Planck%20constant
Q1228944,Domain of discourse,,,,,,,,,,,,,universe of discourse,http://planetmath.org/universeofdiscourse,https://en.wikipedia.org/wiki/Domain%20of%20discourse
Q12294298,Low-dimensional topology,,,,,,,,,,,low-dimensional topology,https://ncatlab.org/nlab/show/low-dimensional+topology,,,https://en.wikipedia.org/wiki/Low-dimensional%20topology
Q1231309,Division algebras,,,division algebra,https://mathgloss.github.io/MathGloss/chicago/division_algebra,,,,,,,division algebra,https://ncatlab.org/nlab/show/division+algebra,division algebra,http://planetmath.org/divisionalgebra,https://en.wikipedia.org/wiki/Division%20algebra
Q12321,Palindrome,,,,,,,,,,,,,palindrome,http://planetmath.org/palindrome,https://en.wikipedia.org/wiki/Palindrome
Q12346647,Icositetrahedron,,,,,,,,,,,,,icositetrahedron,http://planetmath.org/icositetrahedron,https://en.wikipedia.org/wiki/Icositetrahedron
Q1235317,Dolbeault cohomology,,,,,,,,,,,Dolbeault theorem,https://ncatlab.org/nlab/show/Dolbeault+theorem,,,https://en.wikipedia.org/wiki/Dolbeault%20cohomology
Q123699868,Spherical braid group,,,,,,,,,,,spherical braid group,https://ncatlab.org/nlab/show/spherical+braid+group,,,https://en.wikipedia.org/wiki/Spherical%20braid%20group
Q1238125,Kronecker product,,,,,,,,,,,,,Kronecker product,http://planetmath.org/kroneckerproduct,https://en.wikipedia.org/wiki/Kronecker%20product
Q1238449,Polylogarithm,,,,,,,,,,,polylogarithm,https://ncatlab.org/nlab/show/polylogarithm,,,https://en.wikipedia.org/wiki/Polylogarithm
Q124131,Superconductivity,,,,,,,,,,,superconductivity,https://ncatlab.org/nlab/show/superconductivity,,,https://en.wikipedia.org/wiki/Superconductivity
Q1242399,Dynkin's lemma,,,,,,,,,,,factorization lemma,https://ncatlab.org/nlab/show/factorization+lemma,,,https://en.wikipedia.org/wiki/Doob%E2%80%93Dynkin%20lemma
Q124255,Conic sections,,,,,,,,,,,conic section,https://ncatlab.org/nlab/show/conic+section,conic section,http://planetmath.org/conicsection,https://en.wikipedia.org/wiki/Conic%20section
Q124257255,Positive element,,,,,,,,,,,positive element,https://ncatlab.org/nlab/show/positive+element,positive element,http://planetmath.org/positiveelement,https://en.wikipedia.org/wiki/Positive%20element
Q1243340,Doubly stochastic matrix,,,,,,,,,,,Birkhoff-von Neumann theorem,https://ncatlab.org/nlab/show/Birkhoff-von+Neumann+theorem,there are no non-square doubly stochastic matrices,http://planetmath.org/therearenononsquaredoublystochasticmatrices,https://en.wikipedia.org/wiki/Doubly%20stochastic%20matrix
Q1244890,RationalNumbers,,,,,,,,,rational number,https://leanprover-community.github.io/mathlib4_docs/Batteries/Data/Rat/Basic.html#Rat,rational number,https://ncatlab.org/nlab/show/rational+number,rational number,http://planetmath.org/rationalnumber,https://en.wikipedia.org/wiki/Rational%20number
Q12453,Measurement,,,,,,,,,,,measuring,https://ncatlab.org/nlab/show/measuring,,,https://en.wikipedia.org/wiki/Measurement
Q124625185,Young subgroup,,,,,,,,,,,Young subgroup,https://ncatlab.org/nlab/show/Young+subgroup,,,https://en.wikipedia.org/wiki/Young%20subgroup
Q124662529,,,,,,categories:contravariant-functors,https://www.clowderproject.com/tag/0108.html,,,,,,,,,https://en.wikipedia.org/wiki/Contravariant%20functor
Q124743,Wronskian,,,,,,,,,,,Wronskian,https://ncatlab.org/nlab/show/Wronskian,Wronskian determinant,http://planetmath.org/wronskiandeterminant,https://en.wikipedia.org/wiki/Wronskian
Q12479,Number theory,,,,,,,,,,,number theory,https://ncatlab.org/nlab/show/number+theory,number theory,http://planetmath.org/numbertheory,https://en.wikipedia.org/wiki/Number%20theory
Q12482,Axiomatic Set Theory,,,,,,,,,,,set theory,https://ncatlab.org/nlab/show/set+theory,set theory,http://planetmath.org/settheory,https://en.wikipedia.org/wiki/Set%20theory
Q1248241,Converse relation,,,,,relations:the-converse-of-a-relation,https://www.clowderproject.com/tag/00QF.html,,,,,opposite relation,https://ncatlab.org/nlab/show/opposite+relation,,,https://en.wikipedia.org/wiki/Converse%20relation
Q12483,AppliedStatistics,,,,,,,,,,,statistics,https://ncatlab.org/nlab/show/statistics,,,https://en.wikipedia.org/wiki/Statistics
Q124846096,Classifying space for SO(n),,,,,,,,,,,BSO(n),https://ncatlab.org/nlab/show/BSO%28n%29,,,https://en.wikipedia.org/wiki/Classifying%20space%20for%20SO%28n%29
Q124846097,Classifying space for SU(n),,,,,,,,,,,BSU(n),https://ncatlab.org/nlab/show/BSU%28n%29,,,https://en.wikipedia.org/wiki/Classifying%20space%20for%20SU%28n%29
Q12503,IntegerNumbers,,,,,,,,,integer,https://leanprover-community.github.io/mathlib4_docs/Init/Data/Int/Basic.html#Int,integer,https://ncatlab.org/nlab/show/integer,integer,http://planetmath.org/integer,https://en.wikipedia.org/wiki/Integer
Q12507,Sphere,sphere,https://arxiv.org/pdf/1612.09375#page=140,,,,,,,sphere,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Geometry/Manifold/Instances/Sphere.html#EuclideanSpace.instIsManifoldSphere,sphere,https://ncatlab.org/nlab/show/sphere,,,https://en.wikipedia.org/wiki/Sphere
Q12510,Torus,,,,,,,torus,https://emilyriehl.github.io/files/context.pdf#page=99,,,torus,https://ncatlab.org/nlab/show/torus,torus,http://planetmath.org/torus,https://en.wikipedia.org/wiki/Torus
Q12525525,Computation,,,,,,,,,,,computation,https://ncatlab.org/nlab/show/computation,,,https://en.wikipedia.org/wiki/Computation
Q125539,Submanifold,,,,,,,,,,,submanifold,https://ncatlab.org/nlab/show/submanifold,submanifold,http://planetmath.org/submanifold,https://en.wikipedia.org/wiki/Submanifold
Q125626388,Goldene,,,,,,,,,,,goldene,https://ncatlab.org/nlab/show/goldene,,,https://en.wikipedia.org/wiki/Goldene
Q1256500,3D rotation group,,,,,,,,,,,SO(3),https://ncatlab.org/nlab/show/SO%283%29,,,https://en.wikipedia.org/wiki/3D%20rotation%20group
Q1256564,Rotation matrix,,,,,,,,,,,,,rotation matrix,http://planetmath.org/rotationmatrix,https://en.wikipedia.org/wiki/Rotation%20matrix
Q125977,VectorSpaces,vector space,https://arxiv.org/pdf/1612.09375#page=11,vector space,https://mathgloss.github.io/MathGloss/chicago/vector_space,,,,,vector space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/Defs.html#Module,vector space,https://ncatlab.org/nlab/show/vector+space,vector space,http://planetmath.org/vectorspace,https://en.wikipedia.org/wiki/Vector%20space
