Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q5380808,entropy of entanglement,,,,,,,,,,,entanglement entropy,https://ncatlab.org/nlab/show/entanglement+entropy,,
Q5380924,Enveloping von Neumann algebra,,,,,,,,,,,enveloping von Neumann algebra,https://ncatlab.org/nlab/show/enveloping+von+Neumann+algebra,,
Q5384710,Equivalence of metrics,,,equivalent metrics,https://mathgloss.github.io/MathGloss/chicago/equivalent_metrics,,,,,,,,,,
Q5384738,Equivariant cohomology,,,,,,,,,,,equivariant cohomology,https://ncatlab.org/nlab/show/equivariant+cohomology,,
Q539008,24-cell,,,,,,,,,,,24-cell,https://ncatlab.org/nlab/show/24-cell,,
Q5399266,Esquisse d'un Programme,,,,,,,,,,,Esquisse d’un programme,https://ncatlab.org/nlab/show/Esquisse+d%E2%80%99un+programme,,
Q5399579,Essential range,,,,,,,essential image,https://emilyriehl.github.io/files/context.pdf#page=53,,,essential image,https://ncatlab.org/nlab/show/essential+image,,
Q5399590,Essentially unique,,,,,,,,,,,essentially unique,https://ncatlab.org/nlab/show/essentially+unique,,
Q5402374,eta invariant,,,,,,,,,,,eta invariant,https://ncatlab.org/nlab/show/eta+invariant,,
Q5406124,euclidean relation,,,,,,,,,,,euclidean relation,https://ncatlab.org/nlab/show/euclidean+relation,,
Q541563,Subcategory,,,,,wide-subcategories,https://www.clowderproject.com/tag/00XG.html,full embedding,https://emilyriehl.github.io/files/context.pdf#page=49,,,wide subcategory,https://ncatlab.org/nlab/show/wide+subcategory,,
Q5416730,Event structure,,,,,,,,,,,event structure,https://ncatlab.org/nlab/show/event+structure,,
Q5419218,Exact category,,,,,,,,,,,exact category,https://ncatlab.org/nlab/show/exact+category,,
Q5419309,commutative magma,,,,,,,,,,,commutative magma,https://ncatlab.org/nlab/show/commutative+magma,,
Q5419509,Accidental isomorphism,,,,,,,,,,,exceptional isomorphism,https://ncatlab.org/nlab/show/exceptional+isomorphism,,
