Wikidata ID,Wikidata Label,BCT Name,BCT Link,Chicago Name,Chicago Link,Clowder Name,Clowder Link,Context Name,Context Link,Mathlib Name,Mathlib Link,nLab Name,nLab Link,PlanetMath Name,PlanetMath Link
Q10292020,Linearly ordered group,,,,,,,,,,,totally ordered abelian group,https://ncatlab.org/nlab/show/totally+ordered+abelian+group,linearly ordered,http://planetmath.org/linearlyordered
Q1029390,Filter,,,,,,,,,filter,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Order/Filter/Defs.html#Filter,filter,https://ncatlab.org/nlab/show/filter,filter,http://planetmath.org/filter
Q10304573,J.C.,,,,,,,,,,,J. C. Hurtubise,https://ncatlab.org/nlab/show/J.+C.+Hurtubise,,
Q1032070,Coherent state,,,,,,,,,,,coherent state,https://ncatlab.org/nlab/show/coherent+state,,
Q10321907,pencil,,,,,,,,,,,pencil,https://ncatlab.org/nlab/show/pencil,pencil,http://planetmath.org/pencil
Q10326443,bounded lattice,,,,,,,,,,,,,bounded lattice,http://planetmath.org/boundedlattice
Q1032886,Hales–Jewett theorem,,,,,,,,,Hales-Jewett theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Combinatorics/HalesJewett.html#Combinatorics.Line.exists_mono_in_high_dimension,,,,
Q1033772,Happy Ending problem,,,,,,,,,,,,,happy ending problem,http://planetmath.org/happyendingproblem
Q1033906,pairing function,,,,,,,,,,,,,pairing function,http://planetmath.org/pairingfunction
Q1033910,Schroeder-Bernstein theorem,,,,,,,,,,,Cantor-Schroeder-Bernstein theorem,https://ncatlab.org/nlab/show/Cantor-Schroeder-Bernstein+theorem,Schröder-Bernstein theorem,http://planetmath.org/schroderbernsteintheorem
Q1033930,Psychopathy Checklist,,,,,,,,,,,,,p test,http://planetmath.org/ptest
Q1034022,Giordano Bruno,,,,,,,,,,,Giordano Bruno,https://ncatlab.org/nlab/show/Giordano+Bruno,,
Q1035624,Hermite–Hadamard inequality,,,,,,,,,,,,,Hermite-Hadamard integral inequality,http://planetmath.org/hermitehadamardintegralinequality
Q103585,Graviton,,,,,,,,,,,graviton,https://ncatlab.org/nlab/show/graviton,,
Q10359539,unitary representation,,,,,,,,,,,unitary representation,https://ncatlab.org/nlab/show/unitary+representation,unitary representation,http://planetmath.org/unitaryrepresentation
Q10364247,Rhomboid,,,,,,,,,,,,,rhomboid,http://planetmath.org/rhomboid
Q1036452,Method of undetermined coefficients,,,,,,,,,,,,,method of undetermined coefficients,http://planetmath.org/methodofundeterminedcoefficients
Q10370880,Hilbert's sixth problem,,,,,,,,,,,Hilbert's sixth problem,https://ncatlab.org/nlab/show/Hilbert%27s+sixth+problem,,
Q1037559,Pólya enumeration theorem,,,,,,,,,,,Pólya enumeration theorem,https://ncatlab.org/nlab/show/P%C3%B3lya+enumeration+theorem,,
Q10377738,Taboo,,,,,,,,,,,taboo,https://ncatlab.org/nlab/show/taboo,,
Q1038716,identity theorem,,,,,,,,,,,,,identity theorem,http://planetmath.org/identitytheorem
Q103927515,full subcategory,,,,,full-subcategories,https://www.clowderproject.com/tag/00XE.html,full subcategory,https://emilyriehl.github.io/files/context.pdf#page=49,,,strictly full subcategory,https://ncatlab.org/nlab/show/strictly+full+subcategory,,
Q1040069,Face,,,,,,,,,,,face,https://ncatlab.org/nlab/show/face,,
Q1041630,Skyrmion,,,,,,,,,,,skyrmion,https://ncatlab.org/nlab/show/skyrmion,,
Q10417492,Argand diagram,,,,,,,,,,,,,Argand diagram,http://planetmath.org/arganddiagram
Q104213702,Mass,,,,,,,,,,,mass,https://ncatlab.org/nlab/show/mass,,
Q1043778,Carmichael function,,,,,,,,,,,,,Carmichael function,http://planetmath.org/carmichaelfunction
Q104439342,slice,,,,,,,,,,,slice,https://ncatlab.org/nlab/show/slice,,
Q1045168,discrete random variable,,,,,,,,,,,,,uniform (discrete) random variable,http://planetmath.org/uniformdiscreterandomvariable
Q1045966,central binomial coefficient,,,,,,,,,,,,,central binomial coefficient,http://planetmath.org/centralbinomialcoefficient
Q1046232,Szemerédi's theorem,,,,,,,,,,,,,Szemerédi’s theorem,http://planetmath.org/szemeredistheorem
Q1046291,topological group,topological group,https://arxiv.org/pdf/1612.09375#page=44,topological group,https://mathgloss.github.io/MathGloss/chicago/topological_group,,,,,topological group,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Algebra/Group/Defs.html#IsTopologicalGroup,topological group,https://ncatlab.org/nlab/show/topological+group,topological transformation group,http://planetmath.org/topologicaltransformationgroup
Q1046569,Seven segment display,,,,,,,,,,,,,seven-segment display,http://planetmath.org/sevensegmentdisplay
Q1046711,Mangoldt summatory function,,,,,,,,,,,,,Mangoldt summatory function,http://planetmath.org/mangoldtsummatoryfunction
Q1047080,Differential form,,,,,,,,,,,differential form,https://ncatlab.org/nlab/show/differential+form,differential form,http://planetmath.org/differentialform
Q1047307,bundle,,,,,,,,,,,bundle,https://ncatlab.org/nlab/show/bundle,,
Q1047475,Casimir element,,,,,,,,,,,Casimir operator,https://ncatlab.org/nlab/show/Casimir+operator,Casimir operator,http://planetmath.org/casimiroperator
Q104752,Coprime integers,,,coprime,https://mathgloss.github.io/MathGloss/chicago/coprime,,,,,,,coprime integers,https://ncatlab.org/nlab/show/coprime+integers,probability that two positive integers are relatively prime,http://planetmath.org/probabilitythattwopositiveintegersarerelativelyprime
Q1047547,algebraically closed field,,,algebraically closed,https://mathgloss.github.io/MathGloss/chicago/algebraically_closed,,,,,algebraically closed field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/FieldTheory/IsAlgClosed/Basic.html#IsAlgClosed,algebraically closed field,https://ncatlab.org/nlab/show/algebraically+closed+field,algebraically closed,http://planetmath.org/algebraicallyclosed
Q1047683,Quasiparticle,,,,,,,,,,,quasiparticle,https://ncatlab.org/nlab/show/quasiparticle,,
Q1047702,Renormalization,,,,,,,,,,,renormalization,https://ncatlab.org/nlab/show/renormalization,,
Q1047749,Turán's theorem,,,,,,,,,Turán's theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Combinatorics/SimpleGraph/Extremal/Turan.html#SimpleGraph.isTuranMaximal_iff_nonempty_iso_turanGraph,,,Turan’s theorem,http://planetmath.org/turanstheorem
Q1047822,Quantum Hall effect,,,,,,,,,,,quantum Hall effect,https://ncatlab.org/nlab/show/quantum+Hall+effect,,
Q10480244,edge,,,,,,,,,,,edge,https://ncatlab.org/nlab/show/edge,,
Q1048057,antiprism,,,,,,,,,,,,,antiprism,http://planetmath.org/antiprism
Q104819584,topologically nilpotent element,,,,,,,,,,,,,topologically nilpotent,http://planetmath.org/topologicallynilpotent
Q1048264,zeta function regularization,,,,,,,,,,,zeta function regularization,https://ncatlab.org/nlab/show/zeta+function+regularization,,
Q104835835,Abelian 2-group,,,,,,,,,,,Picard stack,https://ncatlab.org/nlab/show/Picard+stack,,
Q104837,Phase (matter),,,,,,,,,,,phase of matter,https://ncatlab.org/nlab/show/phase+of+matter,,
Q104841007,Faithfully flat descent,,,,,,,,,,,,,faithfully flat,http://planetmath.org/faithfullyflat
Q104841050,Eilenberg-Maclane spectrum,,,,,,,,,,,Eilenberg-Mac Lane spectrum,https://ncatlab.org/nlab/show/Eilenberg-Mac+Lane+spectrum,,
Q104841440,Selection theorem,,,,,,,,,,,selection theorem,https://ncatlab.org/nlab/show/selection+theorem,Rellich selection theorem,http://planetmath.org/rellichselectiontheorem
Q104841721,Jacobson–Morozov theorem,,,,,,,,,,,Jacobson-Morozov theorem,https://ncatlab.org/nlab/show/Jacobson-Morozov+theorem,,
Q104841945,Scattered space,,,,,,,,,,,scattered space,https://ncatlab.org/nlab/show/scattered+space,scattered space,http://planetmath.org/scatteredspace
Q104842536,Complete topological vector space,,,,,,,,,,,complete topological vector space,https://ncatlab.org/nlab/show/complete+topological+vector+space,,
Q1048447,multiplicative function,,,,,,,,,,,,,non-multiplicative function,http://planetmath.org/nonmultiplicativefunction
Q104845546,Closed graph theorem,,,,,,,,,,,closed graph theorem,https://ncatlab.org/nlab/show/closed+graph+theorem,closed graph theorem,http://planetmath.org/closedgraphtheorem
Q1048589,Density functional theory,,,,,,,,,,,density functional theory,https://ncatlab.org/nlab/show/density+functional+theory,,
Q104864167,Slice category,slice category,https://arxiv.org/pdf/1612.09375#page=67,,,,,slice category,https://emilyriehl.github.io/files/context.pdf#page=26,,,,,,
Q104868763,Becoming,,,,,,,,,,,becoming,https://ncatlab.org/nlab/show/becoming,,
Q104872737,Catastrophe,,,,,,,,,,,catastrophe,https://ncatlab.org/nlab/show/catastrophe,,
Q1048763,Polyakov action,,,,,,,,,,,Polyakov action,https://ncatlab.org/nlab/show/Polyakov+action,,
Q1048768,Nambu–Goto action,,,,,,,,,,,Nambu-Goto action,https://ncatlab.org/nlab/show/Nambu-Goto+action,,
Q104881170,Corestriction,,,,,,,,,,,corestriction,https://ncatlab.org/nlab/show/corestriction,,
Q1048911,Elliptical Curve Cryptography,,,,,,,,,,,,,elliptic curve discrete logarithm problem,http://planetmath.org/ellipticcurvediscretelogarithmproblem
Q1048949,Cofibration,,,,,,,,,,,cofibration,https://ncatlab.org/nlab/show/cofibration,cofibration,http://planetmath.org/cofibration
Q104895020,Movie,,,,,,,,,,,movie,https://ncatlab.org/nlab/show/movie,,
Q104896289,24,,,,,,,,,,,24,https://ncatlab.org/nlab/show/24,,
Q104896815,Chaos,,,,,,,,,,,chaos,https://ncatlab.org/nlab/show/chaos,,
Q104898028,Singularity,,,,,,,,,,,singularity,https://ncatlab.org/nlab/show/singularity,,
