title,link,suggestion
Jordan-Chevalley-Dunford decomposition,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/JordanChevalley.html#Module.End.exists_isNilpotent_isSemisimple,Jordan-Chevalley-Dunford decomposition
Schur's lemma,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RepresentationTheory/FDRep.html#FDRep.finrank_hom_simple_simple,Schur's lemma
matrix exponential,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Normed/Algebra/Exponential.html#NormedSpace.exp,Matrix exponential
group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Defs.html#Group,group
group morphism,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Hom/Defs.html#MonoidHom,group morphism
direct product of groups,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Prod.html#Prod.instGroup,Direct product of a group
subgroup,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Subgroup/Defs.html#Subgroup,Subgroup
subgroup generated by a subset,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Subgroup/Lattice.html#Subgroup.closure,Subgroup generated by a subset
order of an element,https://leanprover-community.github.io//mathlib4_docs/group_theory/order_of_element.html,order of an element
normal subgroup,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Subgroup/Defs.html#Subgroup.Normal,normal subgroup
quotient group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/QuotientGroup/Defs.html#QuotientGroup.Quotient.group,quotient group
group action,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Action/Defs.html#MulAction,group action
stabilizer of a point,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/GroupAction/Defs.html#MulAction.stabilizer,Stabilizer of a point
orbit,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/GroupAction/Defs.html#MulAction.orbit,orbit
quotient space,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/GroupAction/Quotient.html#MulAction.orbitEquivQuotientStabilizer,quotient space
class formula,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/GroupAction/Quotient.html#MulAction.selfEquivSigmaOrbitsQuotientStabilizer,class formula
conjugacy classes,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Conj.html#ConjClasses,Conjugacy class
cyclic group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Defs.html#IsCyclic,Cyclic group
finite type abelian groups,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/FiniteAbelian/Basic.html#AddCommGroup.equiv_free_prod_directSum_zmod,Finite type abelian group
complex roots of unity,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/RootsOfUnity/Complex.html#Complex.mem_rootsOfUnity,Complex root of unity
primitive complex roots of unity,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/RootsOfUnity/Complex.html#Complex.isPrimitiveRoot_iff,Primitive complex root of unity
permutation group of a type,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Logic/Equiv/Defs.html#Equiv.Perm,Permutation group
decomposition into transpositions,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/Perm/Sign.html#Equiv.Perm.truncSwapFactors,decomposition into transposition
decomposition into cycles with disjoint support,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/Perm/Cycle/Factors.html#Equiv.Perm.truncCycleFactors,decomposition into a cycle with disjoint support
signature,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/Perm/Sign.html#Equiv.Perm.sign,Signature
alternating group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/GroupTheory/SpecificGroups/Alternating.html#alternatingGroup,Alternating group
general linear group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/GeneralLinearGroup.html#LinearMap.GeneralLinearGroup,General Linear Group
special linear group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/SpecialLinearGroup.html#Matrix.SpecialLinearGroup,Special Linear Group
orthogonal group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.orthogonalGroup,Orthogonal group
unitary group,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/UnitaryGroup.html#Matrix.unitaryGroup,Unitary group
Maschke theorem,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RepresentationTheory/Maschke.html#MonoidAlgebra.Submodule.exists_isCompl,Maschke's theorem
orthogonality of irreducible characters,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RepresentationTheory/Character.html#FDRep.char_orthonormal,Orthogonality of irreducible character
characters of a finite dimensional representation,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RepresentationTheory/Character.html#FDRep.character,Character of a finite dimensional representation
ring,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Defs.html#Ring,Ring
subrings,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Subring/Defs.html#Subring,Subring
ring morphisms,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Hom/Defs.html#RingHom,ring morphism
ring structure $\Z$,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Int/Defs.html#Int.instCommRing,ring structure $\mathbb{Z}$
product of rings,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Ring/Pi.html#Pi.ring,product of a ring
ideal of a commutative ring,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Defs.html#Ideal,ideal of a commutative ring
quotient rings,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Quotient/Defs.html#Ideal.instHasQuotient,quotient ring
prime ideals,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Prime.html#Ideal.IsPrime,prime ideal
maximal ideals,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Maximal.html#Ideal.IsMaximal,maximal ideal
Chinese remainder theorem,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Ideal/Quotient/Operations.html#Ideal.quotientInfRingEquivPiQuotient,Chinese remainder theorem
associative algebra over a commutative ring,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Algebra/Defs.html#Algebra,Associative algebra over a commutative ring
irreducible elements,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Prime/Defs.html#Irreducible,Irreducible element
invertible elements,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Invertible/Defs.html#Invertible,Invertible element
coprime elements,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/Coprime/Basic.html#IsCoprime,Coprime element
unique factorisation domain (UFD),https://leanprover-community.github.io//mathlib4_docs/./Mathlib/RingTheory/UniqueFactorizationDomain/Defs.html#UniqueFactorizationMonoid,Unique factorisation domain
greatest common divisor,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.gcd,greatest common divisor
least common multiple,https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.lcm,Least common multiple
