Wikidata ID,Wikidata Label,Chicago Notes,MathLib Undergrad,Topoi,BCT,Context,nlab
[Q192826](https://www.wikidata.org/wiki/Q192826),Kronecker delta,[kronecker delta](https://mathgloss.github.io/MathGloss/chicago/kronecker_delta),,[Kronecker delta](https://mathgloss.github.io/CatGloss/topoi/kronecker_delta),,https://ncatlab.org/nlab/show/Kronecker%2Bdelta,
[Q833089](https://www.wikidata.org/wiki/Q833089),LU decomposition,,lU decomposition,,,https://ncatlab.org/nlab/show/Gauss%2Bdecomposition,
[Q1530791](https://www.wikidata.org/wiki/Q1530791),square-integrable function,,[l^2](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/MeasureTheory/Function/L2Space.html#MeasureTheory.L2.innerProductSpace),,,https://ncatlab.org/nlab/show/square%2Bintegrable%2Bfunction,
[Q598870](https://www.wikidata.org/wiki/Q598870),Lagrange multiplier,,lagrange multipliers,,,https://ncatlab.org/nlab/show/Lagrange%2Bmultiplier,
[Q203484](https://www.wikidata.org/wiki/Q203484),Laplace operator,[laplacian](https://mathgloss.github.io/MathGloss/chicago/laplacian),,,,https://ncatlab.org/nlab/show/Laplace%2Boperator,
[Q425432](https://www.wikidata.org/wiki/Q425432),Laurent series,,laurent series,,,https://ncatlab.org/nlab/show/Laurent%2Bseries,
[Q9993851](https://www.wikidata.org/wiki/Q9993851),weak formulation,,[lax-Milgram theorem](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/InnerProductSpace/LaxMilgram.html#IsCoercive.continuousLinearEquivOfBilin),,,,
[Q102761](https://www.wikidata.org/wiki/Q102761),least common multiple,,[least common multiple](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Algebra/GCDMonoid/Basic.html#GCDMonoid.lcm),,,https://ncatlab.org/nlab/show/least%2Bcommon%2Bmultiple,
[Q516776](https://www.wikidata.org/wiki/Q516776),measurable function,[lebesgue measurable function](https://mathgloss.github.io/MathGloss/chicago/lebesgue_measurable_function),,,,https://ncatlab.org/nlab/show/measurable%2Bfunction,
[Q827230](https://www.wikidata.org/wiki/Q827230),Lebesgue measure,[lebesgue measure](https://mathgloss.github.io/MathGloss/chicago/lebesgue_measure),[lebesgue measure](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/MeasureTheory/Measure/MeasureSpaceDef.html#MeasureTheory.MeasureSpace),,,https://ncatlab.org/nlab/show/Lebesgue%2Bmeasure,
[Q25447455](https://www.wikidata.org/wiki/Q25447455),Lebesgue outer measure,[lebesgue outer measure](https://mathgloss.github.io/MathGloss/chicago/lebesgue_outer_measure),,,,,
[Q185813](https://www.wikidata.org/wiki/Q185813),identity element,[left identity element](https://mathgloss.github.io/MathGloss/chicago/left_identity_element),,,,https://ncatlab.org/nlab/show/identity%2Belement,
[Q44649](https://www.wikidata.org/wiki/Q44649),ideal,[left ring ideal](https://mathgloss.github.io/MathGloss/chicago/left_ring_ideal),,[Left ideal](https://mathgloss.github.io/CatGloss/topoi/left_ideal),,,
[Q394747](https://www.wikidata.org/wiki/Q394747),list of things named after Gottfried Leibniz,,[leibniz formula](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/Calculus/Deriv/Mul.html#deriv_mul),,,,
[Q3882299](https://www.wikidata.org/wiki/Q3882299),algebra homomorphism,[lie algebra homomorphism](https://mathgloss.github.io/MathGloss/chicago/lie_algebra_homomorphism),,,,,
[Q1136782](https://www.wikidata.org/wiki/Q1136782),Lie algebra representation,[lie algebra representation](https://mathgloss.github.io/MathGloss/chicago/lie_algebra_representation),,,,https://ncatlab.org/nlab/show/Lie%2Balgebra%2Brepresentation,
[Q664495](https://www.wikidata.org/wiki/Q664495),Lie algebra,[lie algebra](https://mathgloss.github.io/MathGloss/chicago/lie_algebra),,,,https://ncatlab.org/nlab/show/Lie%2Balgebra,
[Q858223](https://www.wikidata.org/wiki/Q858223),limit point,[limit point](https://mathgloss.github.io/MathGloss/chicago/limit_point),[limit point](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Topology/Basic.html#MapClusterPt),[Limit point](https://mathgloss.github.io/CatGloss/topoi/limit_point),,https://ncatlab.org/nlab/show/limit%2Bpoint,
[Q246639](https://www.wikidata.org/wiki/Q246639),Limit,,[limits](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Order/Filter/Basic.html#Filter.Tendsto),,,,
[Q467699](https://www.wikidata.org/wiki/Q467699),line integral,,line integral,,,https://ncatlab.org/nlab/show/line%2Bintegral,
[Q16977077](https://www.wikidata.org/wiki/Q16977077),linear Lie algebra,[linear lie algebra](https://mathgloss.github.io/MathGloss/chicago/linear_lie_algebra),,,,,
[Q207643](https://www.wikidata.org/wiki/Q207643),linear map,[linear transformation](https://mathgloss.github.io/MathGloss/chicago/linear_transformation),[linear map](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Algebra/Module/LinearMap.html#LinearMap),,,https://ncatlab.org/nlab/show/linear%2Bmap,
[Q211981](https://www.wikidata.org/wiki/Q211981),Hartman–Grobman theorem,,linearisation theorem,,,,
[Q111783780](https://www.wikidata.org/wiki/Q111783780),linear dependence,[linearly dependent](https://mathgloss.github.io/MathGloss/chicago/linearly_dependent),,,,,
[Q27670](https://www.wikidata.org/wiki/Q27670),linear independence,[linearly independent](https://mathgloss.github.io/MathGloss/chicago/linearly_independent),[linear independence](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/LinearAlgebra/LinearIndependent.html#LinearIndependent),,,,
[Q652707](https://www.wikidata.org/wiki/Q652707),Lipschitz function,,[lipschitz functions](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Topology/MetricSpace/Lipschitz.html#LipschitzWith),,,https://ncatlab.org/nlab/show/Lipschitz%2Bmap,
[Q845060](https://www.wikidata.org/wiki/Q845060),maxima and minima,,[local extrema](https://leanprover-community.github.io/mathlib4_docs/./Mathlib/Analysis/Calculus/LocalExtr/Basic.html#IsLocalMin.fderiv_eq_zero),[Minimum](https://mathgloss.github.io/CatGloss/topoi/minimum),,https://ncatlab.org/nlab/show/extremum,
[Q4265744](https://www.wikidata.org/wiki/Q4265744),local homology,[local homology groups](https://mathgloss.github.io/MathGloss/chicago/local_homology_groups),,,,,
[Q91052280](https://www.wikidata.org/wiki/Q91052280),local maximum,[local maximum](https://mathgloss.github.io/MathGloss/chicago/local_maximum),,,,,
[Q91052291](https://www.wikidata.org/wiki/Q91052291),local minimum,[local minimum](https://mathgloss.github.io/MathGloss/chicago/local_minimum),,,,,
[Q2147620](https://www.wikidata.org/wiki/Q2147620),locally compact Hausdorff group,[locally compact group](https://mathgloss.github.io/MathGloss/chicago/locally_compact_group),,,,https://ncatlab.org/nlab/show/locally%2Bcompact%2Btopological%2Bgroup,
[Q643300](https://www.wikidata.org/wiki/Q643300),locally finite collection,[locally finite cover](https://mathgloss.github.io/MathGloss/chicago/locally_finite_cover),,,,,
[Q2136937](https://www.wikidata.org/wiki/Q2136937),locally finite measure,[locally finite measure](https://mathgloss.github.io/MathGloss/chicago/locally_finite_measure),,,,,
[Q16671984](https://www.wikidata.org/wiki/Q16671984),locally path-connected space,[locally path-connected](https://mathgloss.github.io/MathGloss/chicago/locally_path-connected),,,,,
