Wikidata ID,Wikidata Label,Chicago,Mathlib,nLab,Context,PlanetMath
[Q199006](https://www.wikidata.org/wiki/Q199006),Codomain,,,,[codomain](https://mathgloss.github.io/MathGloss/context/codomain),
[Q5140810](https://www.wikidata.org/wiki/Q5140810),Coequaliser,,,[coequalizer](https://ncatlab.org/nlab/show/coequalizer),[absolute](https://mathgloss.github.io/MathGloss/context/absolute),
[Q1341061](https://www.wikidata.org/wiki/Q1341061),Cofactor (mathematics),[minor](https://mathgloss.github.io/MathGloss/chicago/minor),,[principal minor](https://ncatlab.org/nlab/show/principal%20minor),,[minor (of a matrix)](http://planetmath.org/minorofamatrix)
[Q1048949](https://www.wikidata.org/wiki/Q1048949),Cofibration,[cofibration](https://mathgloss.github.io/MathGloss/chicago/cofibration),,[cofibration](https://ncatlab.org/nlab/show/cofibration),,[cofibration](http://planetmath.org/cofibration)
[Q1283623](https://www.wikidata.org/wiki/Q1283623),Cofinality,,,[cofinality](https://ncatlab.org/nlab/show/cofinality),,[cofinality](http://planetmath.org/cofinality)
[Q281212](https://www.wikidata.org/wiki/Q281212),Cofiniteness,,,[cofinite topology](https://ncatlab.org/nlab/show/cofinite%20topology),,[finite complement topology](http://planetmath.org/finitecomplementtopology)
[Q2893695](https://www.wikidata.org/wiki/Q2893695),Cohen–Macaulay ring,,,[Cohen-Macaulay ring](https://ncatlab.org/nlab/show/Cohen-Macaulay%20ring),,[Cohen-Macaulay module](http://planetmath.org/cohenmacaulaymodule)
[Q906907](https://www.wikidata.org/wiki/Q906907),Coherent sheaf,,,[vector bundle](https://ncatlab.org/nlab/show/vector%20bundle),,[vector bundle](http://planetmath.org/vectorbundle)
[Q4227156](https://www.wikidata.org/wiki/Q4227156),Coinduction,,,[coinduction](https://ncatlab.org/nlab/show/coinduction),[coinduction](https://mathgloss.github.io/MathGloss/context/coinduction),
[Q2156511](https://www.wikidata.org/wiki/Q2156511),Cokernel,,,[cokernel](https://ncatlab.org/nlab/show/cokernel),[cokernel](https://mathgloss.github.io/MathGloss/context/cokernel),
[Q1779341](https://www.wikidata.org/wiki/Q1779341),Collection,,,[collection](https://ncatlab.org/nlab/show/collection),,[collection](http://planetmath.org/collection)
[Q504843](https://www.wikidata.org/wiki/Q504843),Colouring algorithm,,,[vertex coloring](https://ncatlab.org/nlab/show/vertex%20coloring),,[colouring problem](http://planetmath.org/colouringproblem)
[Q1481571](https://www.wikidata.org/wiki/Q1481571),Combinator,,,[combinatory logic](https://ncatlab.org/nlab/show/combinatory%20logic),,[combinatory logic](http://planetmath.org/combinatorylogic)
[Q336787](https://www.wikidata.org/wiki/Q336787),Combinatorial enumeration,,,[enumerative combinatorics](https://ncatlab.org/nlab/show/enumerative%20combinatorics),,[enumerative combinatorics](http://planetmath.org/enumerativecombinatorics)
[Q1780005](https://www.wikidata.org/wiki/Q1780005),Comma category,,,[comma category](https://ncatlab.org/nlab/show/comma%20category),[slice categories](https://mathgloss.github.io/MathGloss/context/slice_categories),
[Q165474](https://www.wikidata.org/wiki/Q165474),Commutative,[commutative](https://mathgloss.github.io/MathGloss/chicago/commutative),,,,[commutative](http://planetmath.org/commutative)
[Q621542](https://www.wikidata.org/wiki/Q621542),Commutative diagram,,,[diagram chasing](https://ncatlab.org/nlab/show/diagram%20chasing),[commutative square](https://mathgloss.github.io/MathGloss/context/commutative_square),
[Q7574800](https://www.wikidata.org/wiki/Q7574800),Commutative semigroup,,,[commutative semigroup](https://ncatlab.org/nlab/show/commutative%20semigroup),,[simple semigroup](http://planetmath.org/simplesemigroup)
[Q2989763](https://www.wikidata.org/wiki/Q2989763),Commutator,,,[group commutator](https://ncatlab.org/nlab/show/group%20commutator),,[commutator bracket](http://planetmath.org/commutatorbracket)
[Q522216](https://www.wikidata.org/wiki/Q522216),Commutator subgroup,[commutator subgroup](https://mathgloss.github.io/MathGloss/chicago/commutator_subgroup),,[derived series](https://ncatlab.org/nlab/show/derived%20series),[commutator subgroup](https://mathgloss.github.io/MathGloss/context/commutator_subgroup),[transfinite derived series](http://planetmath.org/transfinitederivedseries)
[Q5155179](https://www.wikidata.org/wiki/Q5155179),Comodule,,,[corepresentation](https://ncatlab.org/nlab/show/corepresentation),,[comodule](http://planetmath.org/comodule)
[Q5155306](https://www.wikidata.org/wiki/Q5155306),Compact element,,,[compact element](https://ncatlab.org/nlab/show/compact%20element),,[compact element](http://planetmath.org/compactelement)
[Q1780743](https://www.wikidata.org/wiki/Q1780743),Compact operator,[compact linear transformation](https://mathgloss.github.io/MathGloss/chicago/compact_linear_transformation),,[compact operator](https://ncatlab.org/nlab/show/compact%20operator),,[compact operator](http://planetmath.org/compactoperator)
[Q381892](https://www.wikidata.org/wiki/Q381892),Compact space,[compact](https://mathgloss.github.io/MathGloss/chicago/compact),,[compactum](https://ncatlab.org/nlab/show/compactum),,[quasi-compact](http://planetmath.org/quasicompact)
[Q1669863](https://www.wikidata.org/wiki/Q1669863),Compact-open topology,,,[compact-open topology](https://ncatlab.org/nlab/show/compact-open%20topology),,[compact-open topology](http://planetmath.org/compactopentopology)
[Q546145](https://www.wikidata.org/wiki/Q546145),Compactification (mathematics),,,[compactification](https://ncatlab.org/nlab/show/compactification),,[compactification](http://planetmath.org/compactification)
[Q1738274](https://www.wikidata.org/wiki/Q1738274),Compactly generated space,[compactly generated](https://mathgloss.github.io/MathGloss/chicago/compactly_generated),,,[compactly generated Hausdorff spaces](https://mathgloss.github.io/MathGloss/context/compactly_generated_Hausdorff_spaces),
[Q906456](https://www.wikidata.org/wiki/Q906456),Comparison of topologies,,,[finer topology](https://ncatlab.org/nlab/show/finer%20topology),[Coarsest](https://mathgloss.github.io/MathGloss/context/coarsest),[lattice of topologies](http://planetmath.org/latticeoftopologies)
[Q19924622](https://www.wikidata.org/wiki/Q19924622),Complement,,,[complement](https://ncatlab.org/nlab/show/complement),,[complement](http://planetmath.org/complement)
[Q5156447](https://www.wikidata.org/wiki/Q5156447),Complete Boolean algebra,,,[complete Boolean algebra](https://ncatlab.org/nlab/show/complete%20Boolean%20algebra),,[complete Boolean algebra](http://planetmath.org/completebooleanalgebra)
[Q4370335](https://www.wikidata.org/wiki/Q4370335),Complete category,[complete category](https://mathgloss.github.io/MathGloss/chicago/complete_category),,[finitely complete category](https://ncatlab.org/nlab/show/finitely%20complete%20category),[complete](https://mathgloss.github.io/MathGloss/context/complete),
[Q45715](https://www.wikidata.org/wiki/Q45715),Complete graph,,,[complete graph](https://ncatlab.org/nlab/show/complete%20graph),,[complete graph](http://planetmath.org/completegraph)
[Q5156470](https://www.wikidata.org/wiki/Q5156470),Complete Heyting algebra,,,[locale](https://ncatlab.org/nlab/show/locale),,[locale](http://planetmath.org/locale)
[Q2362924](https://www.wikidata.org/wiki/Q2362924),Complete lattice,,,[complete lattice](https://ncatlab.org/nlab/show/complete%20lattice),[complete lattice](https://mathgloss.github.io/MathGloss/context/complete_lattice),[complete lattice homomorphism](http://planetmath.org/completelatticehomomorphism)
[Q848569](https://www.wikidata.org/wiki/Q848569),Complete metric space,[complete metric space](https://mathgloss.github.io/MathGloss/chicago/complete_metric_space),[complete metric spaces](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/MetricSpace/Cauchy.html#Metric.complete_of_cauchySeq_tendsto),[completion](https://ncatlab.org/nlab/show/completion),,[completion](http://planetmath.org/completion)
[Q5156529](https://www.wikidata.org/wiki/Q5156529),Completely distributive lattice,,,[completely distributive lattice](https://ncatlab.org/nlab/show/completely%20distributive%20lattice),,[complete distributivity](http://planetmath.org/completedistributivity)
[Q50704](https://www.wikidata.org/wiki/Q50704),Completing the square,,,[completing the square](https://ncatlab.org/nlab/show/completing%20the%20square),,[completing the square](http://planetmath.org/completingthesquare)
[Q193756](https://www.wikidata.org/wiki/Q193756),Complex analysis,,,[complex analysis](https://ncatlab.org/nlab/show/complex%20analysis),,[complex function](http://planetmath.org/complexfunction)
[Q381040](https://www.wikidata.org/wiki/Q381040),Complex conjugate,[complex conjugate](https://mathgloss.github.io/MathGloss/chicago/complex_conjugate),,[complex conjugation](https://ncatlab.org/nlab/show/complex%20conjugation),,[complex conjugate](http://planetmath.org/complexconjugate)
[Q5156554](https://www.wikidata.org/wiki/Q5156554),Complex Lie group,[complex Lie group](https://mathgloss.github.io/MathGloss/chicago/complex_lie_group),,[complex Lie group](https://ncatlab.org/nlab/show/complex%20Lie%20group),,
[Q16889279](https://www.wikidata.org/wiki/Q16889279),Complex line,,,[complex line](https://ncatlab.org/nlab/show/complex%20line),,[complex line](http://planetmath.org/complexline)
[Q578874](https://www.wikidata.org/wiki/Q578874),Complex manifold,,,[complex manifold](https://ncatlab.org/nlab/show/complex%20manifold),,[complex analytic manifold](http://planetmath.org/complexanalyticmanifold)
[Q11567](https://www.wikidata.org/wiki/Q11567),Complex numbers,,,[real part](https://ncatlab.org/nlab/show/real%20part),,[complex number](http://planetmath.org/complexnumber)
[Q445569](https://www.wikidata.org/wiki/Q445569),Complexification,[complexification of a vector space](https://mathgloss.github.io/MathGloss/chicago/complexification_of_a_vector_space),,[complexification](https://ncatlab.org/nlab/show/complexification),,[complexification of vector space](http://planetmath.org/complexificationofvectorspace)
[Q908207](https://www.wikidata.org/wiki/Q908207),Complexity class,,,[complexity class](https://ncatlab.org/nlab/show/complexity%20class),,[complexity class](http://planetmath.org/complexityclass)
[Q2835957](https://www.wikidata.org/wiki/Q2835957),Composition algebra,,,[composition algebra](https://ncatlab.org/nlab/show/composition%20algebra),,[composition algebra](http://planetmath.org/compositionalgebra)
[Q2525646](https://www.wikidata.org/wiki/Q2525646),Composition series,[composition series of a group](https://mathgloss.github.io/MathGloss/chicago/composition_series_of_a_group),,[Jordan-Hölder theorem](https://ncatlab.org/nlab/show/Jordan-H%C3%B6lder%20theorem),,[Jordan-Hölder decomposition](http://planetmath.org/jordanholderdecomposition)
[Q818895](https://www.wikidata.org/wiki/Q818895),Computable number,,,[computable real number](https://ncatlab.org/nlab/show/computable%20real%20number),,[computable number](http://planetmath.org/computablenumber)
[Q126002](https://www.wikidata.org/wiki/Q126002),Concatenation,,,[concatenation](https://ncatlab.org/nlab/show/concatenation),,[concatenation](http://planetmath.org/concatenation)
[Q1437394](https://www.wikidata.org/wiki/Q1437394),Concept lattice,,,[formal concept analysis](https://ncatlab.org/nlab/show/formal%20concept%20analysis),,[concept lattice](http://planetmath.org/conceptlattice)
[Q1575634](https://www.wikidata.org/wiki/Q1575634),Concrete category,,,[concrete category](https://ncatlab.org/nlab/show/concrete%20category),[concrete category](https://mathgloss.github.io/MathGloss/context/concrete_category),
[Q772232](https://www.wikidata.org/wiki/Q772232),Conditional expectation,,,[conditional expectation](https://ncatlab.org/nlab/show/conditional%20expectation),,[conditional expectation](http://planetmath.org/conditionalexpectation)
[Q327069](https://www.wikidata.org/wiki/Q327069),Conditional probabilities,,[conditional probability](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Probability/ConditionalProbability.html#ProbabilityTheory.cond),,,[conditional probability](http://planetmath.org/conditionalprobability)
[Q2256541](https://www.wikidata.org/wiki/Q2256541),Cone (linear algebra),,,[convex cone](https://ncatlab.org/nlab/show/convex%20cone),,[proper cone](http://planetmath.org/propercone)
[Q1635267](https://www.wikidata.org/wiki/Q1635267),Cone (topology),[cone](https://mathgloss.github.io/MathGloss/chicago/cone),,,,
[Q1140902](https://www.wikidata.org/wiki/Q1140902),Confluence (abstract rewriting),,,[locally confluent](https://ncatlab.org/nlab/show/locally%20confluent),,[Church-Rosser property](http://planetmath.org/churchrosserproperty)
[Q513175](https://www.wikidata.org/wiki/Q513175),Conformal geometry,,,[conformal geometry](https://ncatlab.org/nlab/show/conformal%20geometry),,[conformally equivalent](http://planetmath.org/conformallyequivalent)
[Q850275](https://www.wikidata.org/wiki/Q850275),Conformal map,,,[conformal transformation](https://ncatlab.org/nlab/show/conformal%20transformation),,[conformal mapping theorem](http://planetmath.org/conformalmappingtheorem)
[Q154210](https://www.wikidata.org/wiki/Q154210),Congruence (geometry),,,[congruence in geometry](https://ncatlab.org/nlab/show/congruence%20in%20geometry),,[CPCTC](http://planetmath.org/cpctc)
[Q124255](https://www.wikidata.org/wiki/Q124255),Conic sections,,,[conic section](https://ncatlab.org/nlab/show/conic%20section),,[conic section](http://planetmath.org/conicsection)
[Q42344](https://www.wikidata.org/wiki/Q42344),Conical,,,[cone](https://ncatlab.org/nlab/show/cone),[cocones](https://mathgloss.github.io/MathGloss/context/cocones),[cone](http://planetmath.org/cone1)
[Q527863](https://www.wikidata.org/wiki/Q527863),Conjecture of Birch and Swinnerton-Dyer,,,[Birch and Swinnerton-Dyer conjecture](https://ncatlab.org/nlab/show/Birch%20and%20Swinnerton-Dyer%20conjecture),,[Birch and Swinnerton-Dyer conjecture](http://planetmath.org/birchandswinnertondyerconjecture)
[Q1353233](https://www.wikidata.org/wiki/Q1353233),Conjugacy class,[conjugacy classes](https://mathgloss.github.io/MathGloss/chicago/conjugacy_classes),[conjugacy classes](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Conj.html#ConjClasses),[conjugate subgroup](https://ncatlab.org/nlab/show/conjugate%20subgroup),,[conjugacy class](http://planetmath.org/conjugacyclass1)
[Q5161408](https://www.wikidata.org/wiki/Q5161408),Connected category,[connected category](https://mathgloss.github.io/MathGloss/chicago/connected_category),,[connected category](https://ncatlab.org/nlab/show/connected%20category),[connected](https://mathgloss.github.io/MathGloss/context/connected),
[Q230655](https://www.wikidata.org/wiki/Q230655),Connected graph,[connected graph](https://mathgloss.github.io/MathGloss/chicago/connected_graph),,[connected graph](https://ncatlab.org/nlab/show/connected%20graph),,[connected graph](http://planetmath.org/connectedgraph)
[Q1491995](https://www.wikidata.org/wiki/Q1491995),Connected space,[connected](https://mathgloss.github.io/MathGloss/chicago/connected),[path connectedness](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Connected/PathConnected.html#IsPathConnected),[locally path-connected space](https://ncatlab.org/nlab/show/locally%20path-connected%20space),[connected components](https://mathgloss.github.io/MathGloss/context/connected_components),[path component](http://planetmath.org/pathcomponent)
[Q1890389](https://www.wikidata.org/wiki/Q1890389),Connected sum,,,[connected sum](https://ncatlab.org/nlab/show/connected%20sum),,[connected sum](http://planetmath.org/connectedsum1)
[Q31924](https://www.wikidata.org/wiki/Q31924),Connection (mathematics),,,[connection](https://ncatlab.org/nlab/show/connection),,[connection](http://planetmath.org/connection)
[Q23808682](https://www.wikidata.org/wiki/Q23808682),Conservative functor,,,[conservative functor](https://ncatlab.org/nlab/show/conservative%20functor),[conservative](https://mathgloss.github.io/MathGloss/context/conservative),
[Q1319773](https://www.wikidata.org/wiki/Q1319773),Consistency,,,[internal logic](https://ncatlab.org/nlab/show/internal%20logic),,[consistent](http://planetmath.org/consistent)
[Q746264](https://www.wikidata.org/wiki/Q746264),Constant function,,,[constant polynomial](https://ncatlab.org/nlab/show/constant%20polynomial),,[constant functions and continuity](http://planetmath.org/constantfunctionsandcontinuity)
[Q1783105](https://www.wikidata.org/wiki/Q1783105),Contact geometry,,,[contact manifold](https://ncatlab.org/nlab/show/contact%20manifold),,[contact manifold](http://planetmath.org/contactmanifold)
[Q338047](https://www.wikidata.org/wiki/Q338047),Context free grammars,,,[context-free grammar](https://ncatlab.org/nlab/show/context-free%20grammar),,[leftmost derivation](http://planetmath.org/leftmostderivation)
[Q206816](https://www.wikidata.org/wiki/Q206816),Continued fraction,,,[continued fraction](https://ncatlab.org/nlab/show/continued%20fraction),,[continued fraction](http://planetmath.org/continuedfraction)
[Q170058](https://www.wikidata.org/wiki/Q170058),Continuity property,[continuous](https://mathgloss.github.io/MathGloss/chicago/continuous),[continuous functions](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Defs/Basic.html#Continuous),[continuous space](https://ncatlab.org/nlab/show/continuous%20space),[continuous](https://mathgloss.github.io/MathGloss/context/continuous),[sequentially continuous](http://planetmath.org/sequentiallycontinuous)
[Q1091024](https://www.wikidata.org/wiki/Q1091024),Continuous linear map,,[continuous linear maps](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Topology/Algebra/Module/LinearMap.html#ContinuousLinearMap),,,[continuous linear mapping](http://planetmath.org/continuouslinearmapping)
[Q5165503](https://www.wikidata.org/wiki/Q5165503),Continuous predicate,,,[continuous predicate](https://ncatlab.org/nlab/show/continuous%20predicate),,[continuous predicate](http://planetmath.org/continuouspredicate)
[Q241663](https://www.wikidata.org/wiki/Q241663),Continuum,,,[continuum](https://ncatlab.org/nlab/show/continuum),,[continuum](http://planetmath.org/continuum)
[Q208416](https://www.wikidata.org/wiki/Q208416),Continuum hypothesis,,,[continuum hypothesis](https://ncatlab.org/nlab/show/continuum%20hypothesis),,[generalized continuum hypothesis](http://planetmath.org/generalizedcontinuumhypothesis)
[Q230689](https://www.wikidata.org/wiki/Q230689),Contractible,[contractible](https://mathgloss.github.io/MathGloss/chicago/contractible),,[locally contractible space](https://ncatlab.org/nlab/show/locally%20contractible%20space),,[contractible](http://planetmath.org/contractible)
[Q403082](https://www.wikidata.org/wiki/Q403082),Contraction,,,[contraction](https://ncatlab.org/nlab/show/contraction),,[contraction](http://planetmath.org/contraction)
[Q515173](https://www.wikidata.org/wiki/Q515173),Contraction mapping,[contraction mapping](https://mathgloss.github.io/MathGloss/chicago/contraction_mapping),,,,
[Q363948](https://www.wikidata.org/wiki/Q363948),Contradiction,,,[contradiction](https://ncatlab.org/nlab/show/contradiction),,[contradiction](http://planetmath.org/contradiction)
[Q1077442](https://www.wikidata.org/wiki/Q1077442),Contrapositive,,,[contrapositive](https://ncatlab.org/nlab/show/contrapositive),,[contrapositive](http://planetmath.org/contrapositive)
[Q768656](https://www.wikidata.org/wiki/Q768656),Convergence in measure,[convergence in measure](https://mathgloss.github.io/MathGloss/chicago/convergence_in_measure),,,,
[Q578985](https://www.wikidata.org/wiki/Q578985),Convergence of random variables,,[almost surely convergence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/OuterMeasure/AE.html#MeasureTheory.ae),,,[convergence in probability](http://planetmath.org/convergenceinprobability)
[Q1211057](https://www.wikidata.org/wiki/Q1211057),Convergent series,,[convergence](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Order/Filter/Defs.html#Filter.Tendsto),[convergence](https://ncatlab.org/nlab/show/convergence),,[convergent series](http://planetmath.org/convergentseries)
[Q2234833](https://www.wikidata.org/wiki/Q2234833),Convex analysis,,,[convex analysis](https://ncatlab.org/nlab/show/convex%20analysis),,[convex analysis](http://planetmath.org/convexanalysis)
[Q319913](https://www.wikidata.org/wiki/Q319913),Convex function,,[convex functions of a real variable](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Function.html#ConvexOn),[convex function](https://ncatlab.org/nlab/show/convex%20function),,[convex function](http://planetmath.org/convexfunction)
[Q193657](https://www.wikidata.org/wiki/Q193657),Convex set,[convex set](https://mathgloss.github.io/MathGloss/chicago/convex_set),[convex subsets](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convex/Basic.html#Convex),[convex space](https://ncatlab.org/nlab/show/convex%20space),,[convex set](http://planetmath.org/convexset)
[Q210857](https://www.wikidata.org/wiki/Q210857),Convolution,,[convolution](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Analysis/Convolution.html#MeasureTheory.convolution),,,[convolution](http://planetmath.org/convolution1)
[Q11210](https://www.wikidata.org/wiki/Q11210),Coordinates,,[change of coordinates](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/Matrix/BilinearForm.html#BilinForm.toMatrix_comp),[coordinate system](https://ncatlab.org/nlab/show/coordinate%20system),,[coordinate systems](http://planetmath.org/coordinatesystems)
[Q104752](https://www.wikidata.org/wiki/Q104752),Coprime integers,[coprime](https://mathgloss.github.io/MathGloss/chicago/coprime),,[coprime integers](https://ncatlab.org/nlab/show/coprime%20integers),,[probability that two positive integers are relatively prime](http://planetmath.org/probabilitythattwopositiveintegersarerelativelyprime)
[Q692689](https://www.wikidata.org/wiki/Q692689),Coproduct,,,[coproduct](https://ncatlab.org/nlab/show/coproduct),[coproduct](https://mathgloss.github.io/MathGloss/context/coproduct),
[Q751969](https://www.wikidata.org/wiki/Q751969),Coset,[right coset](https://mathgloss.github.io/MathGloss/chicago/right_coset),,[coset](https://ncatlab.org/nlab/show/coset),,[coset](http://planetmath.org/coset)
[Q93344](https://www.wikidata.org/wiki/Q93344),Cosine,,[cos](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Data/Complex/Exponential.html#Complex.cos),[trigonometric function](https://ncatlab.org/nlab/show/trigonometric%20function),,[Prosthaphaeresis formulas](http://planetmath.org/prosthaphaeresisformulas)
[Q1142143](https://www.wikidata.org/wiki/Q1142143),Cotangent bundle,,,[cotangent bundle](https://ncatlab.org/nlab/show/cotangent%20bundle),,[cotangent bundle](http://planetmath.org/cotangentbundle)
[Q5176824](https://www.wikidata.org/wiki/Q5176824),Countable chain condition,,,[countable chain condition](https://ncatlab.org/nlab/show/countable%20chain%20condition),,[chain condition](http://planetmath.org/chaincondition)
[Q185478](https://www.wikidata.org/wiki/Q185478),Countably infinite,,,[countable set](https://ncatlab.org/nlab/show/countable%20set),,[countably infinite](http://planetmath.org/countablyinfinite)
[Q643300](https://www.wikidata.org/wiki/Q643300),Countably locally finite,[locally finite cover](https://mathgloss.github.io/MathGloss/chicago/locally_finite_cover),,,,[locally finite collection](http://planetmath.org/locallyfinitecollection)
[Q596077](https://www.wikidata.org/wiki/Q596077),Counterexample,,,[counterexample](https://ncatlab.org/nlab/show/counterexample),,[counterexample](http://planetmath.org/counterexample)
[Q247204](https://www.wikidata.org/wiki/Q247204),Counting measure,,[counting measure](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/MeasureTheory/Measure/Count.html#MeasureTheory.Measure.count),[counting measure](https://ncatlab.org/nlab/show/counting%20measure),,[counting measure](http://planetmath.org/countingmeasure)
[Q7874246](https://www.wikidata.org/wiki/Q7874246),Coxeter group,,,[Coxeter group](https://ncatlab.org/nlab/show/Coxeter%20group),,[Coxeter group](http://planetmath.org/coxetergroup)
[Q5014001](https://www.wikidata.org/wiki/Q5014001),CR manifold,,,[CR structure](https://ncatlab.org/nlab/show/CR%20structure),,[CR submanifold](http://planetmath.org/crsubmanifold)
[Q577705](https://www.wikidata.org/wiki/Q577705),Critical point (mathematics),[critical point](https://mathgloss.github.io/MathGloss/chicago/critical_point),,[critical point](https://ncatlab.org/nlab/show/critical%20point),,
[Q3754024](https://www.wikidata.org/wiki/Q3754024),Critical value,[critical value](https://mathgloss.github.io/MathGloss/chicago/critical_value),,,,
[Q178192](https://www.wikidata.org/wiki/Q178192),Cross product,,[cross product](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/LinearAlgebra/CrossProduct.html#crossProduct),[cross product](https://ncatlab.org/nlab/show/cross%20product),,[cross product](http://planetmath.org/crossproduct)
[Q899539](https://www.wikidata.org/wiki/Q899539),Cross ratio,,,[cross ratio](https://ncatlab.org/nlab/show/cross%20ratio),,[cross ratio](http://planetmath.org/crossratio)
[Q266775](https://www.wikidata.org/wiki/Q266775),Crossing number (graph theory),,,[crossing number](https://ncatlab.org/nlab/show/crossing%20number),,[crossing number](http://planetmath.org/crossingnumber)
[Q8789](https://www.wikidata.org/wiki/Q8789),CryptologY,,,[cryptography](https://ncatlab.org/nlab/show/cryptography),,[cryptography](http://planetmath.org/cryptography)
[Q16667694](https://www.wikidata.org/wiki/Q16667694),Cubic equation,,,[cubic function](https://ncatlab.org/nlab/show/cubic%20function),,[cubic formula](http://planetmath.org/cubicformula)
[Q746007](https://www.wikidata.org/wiki/Q746007),Cumulant,,,[cumulant](https://ncatlab.org/nlab/show/cumulant),,[cumulant generating function](http://planetmath.org/cumulantgeneratingfunction)
[Q18349448](https://www.wikidata.org/wiki/Q18349448),Cumulative hierarchy,,,[cumulative hierarchy](https://ncatlab.org/nlab/show/cumulative%20hierarchy),,[cumulative hierarchy](http://planetmath.org/cumulativehierarchy)
[Q3388699](https://www.wikidata.org/wiki/Q3388699),Cup product,,,[cup product](https://ncatlab.org/nlab/show/cup%20product),,[cup product](http://planetmath.org/cupproduct)
[Q206310](https://www.wikidata.org/wiki/Q206310),Curl (mathematics),,,[curl](https://ncatlab.org/nlab/show/curl),,[curl](http://planetmath.org/curl)
[Q3001145](https://www.wikidata.org/wiki/Q3001145),Current (mathematics),,,[integral current](https://ncatlab.org/nlab/show/integral%20current),,[current](http://planetmath.org/current)
[Q1144925](https://www.wikidata.org/wiki/Q1144925),Currying,,,[currying](https://ncatlab.org/nlab/show/currying),[currying](https://mathgloss.github.io/MathGloss/context/currying),[currying](http://planetmath.org/currying)
[Q214881](https://www.wikidata.org/wiki/Q214881),Curvature,,,[curvature](https://ncatlab.org/nlab/show/curvature),,[curvature (space curve)](http://planetmath.org/curvaturespacecurve)
[Q161973](https://www.wikidata.org/wiki/Q161973),Curve,,,[curve](https://ncatlab.org/nlab/show/curve),,[space curve](http://planetmath.org/spacecurve)
[Q2400580](https://www.wikidata.org/wiki/Q2400580),Cusp form,,,[cusp form](https://ncatlab.org/nlab/show/cusp%20form),,[cusp form](http://planetmath.org/cuspform)
[Q189061](https://www.wikidata.org/wiki/Q189061),CW complex,[CW complex](https://mathgloss.github.io/MathGloss/chicago/cw_complex),,[CW-pair](https://ncatlab.org/nlab/show/CW-pair),,[CW complex](http://planetmath.org/cwcomplex)
[Q225014](https://www.wikidata.org/wiki/Q225014),Cycle,,,[cycle](https://ncatlab.org/nlab/show/cycle),,[cycle](http://planetmath.org/cycle12)
[Q245462](https://www.wikidata.org/wiki/Q245462),Cyclic group,[cyclic group](https://mathgloss.github.io/MathGloss/chicago/cyclic_group),[cyclic group](https://leanprover-community.github.io//mathlib4_docs/./Mathlib/Algebra/Group/Defs.html#IsCyclic),[cyclic group](https://ncatlab.org/nlab/show/cyclic%20group),,[virtually cyclic group](http://planetmath.org/virtuallycyclicgroup)
[Q212130](https://www.wikidata.org/wiki/Q212130),Cyclic permutation,[cycle](https://mathgloss.github.io/MathGloss/chicago/cycle),,[cyclic permutation](https://ncatlab.org/nlab/show/cyclic%20permutation),,[transposition](http://planetmath.org/transposition)
[Q1554628](https://www.wikidata.org/wiki/Q1554628),Cyclotomic,,,[cyclotomic field](https://ncatlab.org/nlab/show/cyclotomic%20field),,[cyclotomic field](http://planetmath.org/cyclotomicfield)
[Q5244640](https://www.wikidata.org/wiki/Q5244640),De Morgan algebra,,,[De Morgan algebra](https://ncatlab.org/nlab/show/De%20Morgan%20algebra),,[De Morgan algebra](http://planetmath.org/demorganalgebra)
[Q1179446](https://www.wikidata.org/wiki/Q1179446),De Rham cohomology,,,[de Rham theorem](https://ncatlab.org/nlab/show/de%20Rham%20theorem),,[de Rham cohomology](http://planetmath.org/derhamcohomology)
[Q81365](https://www.wikidata.org/wiki/Q81365),Decimal,,,[decimal number](https://ncatlab.org/nlab/show/decimal%20number),,[decimal fraction](http://planetmath.org/decimalfraction)
[Q5249756](https://www.wikidata.org/wiki/Q5249756),Dedekind completion,,,[MacNeille completion](https://ncatlab.org/nlab/show/MacNeille%20completion),,[MacNeille completion](http://planetmath.org/macneillecompletion)
[Q851333](https://www.wikidata.org/wiki/Q851333),Dedekind cut,,,[Dedekind cut](https://ncatlab.org/nlab/show/Dedekind%20cut),,[Dedekind cuts](http://planetmath.org/dedekindcuts)
[Q254347](https://www.wikidata.org/wiki/Q254347),Dedekind domain,,,[Dedekind ring](https://ncatlab.org/nlab/show/Dedekind%20ring),,[Dedekind domain](http://planetmath.org/dedekinddomain)
