Title,Link,Normalized,Candidates
"(eso, fully faithful) factorization system",https://ncatlab.org/nlab/show/%28eso%2C+fully+faithful%29+factorization+system,esofullyfaithfulfactorizationsystem,
(g-2) anomaly,https://ncatlab.org/nlab/show/%28g-2%29+anomaly,g2anomaly,
"(geometric surjection, embedding) factorization system",https://ncatlab.org/nlab/show/%28geometric+surjection%2C+embedding%29+factorization+system,geometricsurjectionembeddingfactorizationsystem,
"(hyperconnected, localic) factorization system",https://ncatlab.org/nlab/show/%28hyperconnected%2C+localic%29+factorization+system,hyperconnectedlocalicfactorizationsystem,
"(infinity,0)-category",https://ncatlab.org/nlab/show/%28infinity%2C0%29-category,infinity0category,
"(infinity,1)-bimodule",https://ncatlab.org/nlab/show/%28infinity%2C1%29-bimodule,infinity1bimodule,
"(infinity,1)-categorical hom-space",https://ncatlab.org/nlab/show/%28infinity%2C1%29-categorical+hom-space,infinity1categoricalhomspace,
"(infinity,1)-categorification",https://ncatlab.org/nlab/show/%28infinity%2C1%29-categorification,infinity1categorification,
"(infinity,1)-category",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category,infinity1category,
"(infinity,1)-category > history",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+%3E+history,infinity1categoryhistory,
"(infinity,1)-category of (infinity,1)-categories",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+of+%28infinity%2C1%29-categories,infinity1categoryofinfinity1categories,
"(infinity,1)-category of (infinity,1)-functors",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+of+%28infinity%2C1%29-functors,infinity1categoryofinfinity1functors,
"(infinity,1)-category of (infinity,1)-presheaves",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+of+%28infinity%2C1%29-presheaves,infinity1categoryofinfinity1presheaves,
"(infinity,1)-category of (infinity,1)-sheaves",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+of+%28infinity%2C1%29-sheaves,infinity1categoryofinfinity1sheaves,
"(infinity,1)-category of cartesian sections",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+of+cartesian+sections,infinity1categoryofcartesiansections,
"(infinity,1)-category of chain complexes",https://ncatlab.org/nlab/show/%28infinity%2C1%29-category+of+chain+complexes,infinity1categoryofchaincomplexes,
