Title,Link,Normalized,Candidates
characteristic of a ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/CharP/Defs.html#ringChar,characteristicofaring,Q289093 (0.840; token_jaccard=0.60) localization of a ring [layer3.csv]; Q3341881 (0.840; token_jaccard=0.60) nilradical of a ring [layer3.csv]; Q1154351 (0.840; token_jaccard=0.60) spectrum of a ring [layer2.csv]
characteristic zero,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/CharZero/Defs.html#CharZero,characteristiczero,
characteristic p,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/CharP/Defs.html#CharP,characteristicp,
Frobenius morphism,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/CharP/Lemmas.html#frobenius,frobeniusmorphism,
existence of algebraic closure of a field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/FieldTheory/IsAlgClosed/AlgebraicClosure.html#AlgebraicClosure,existenceofalgebraicclosureofafield,
$\C$ is algebraically closed,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/Complex/Polynomial/Basic.html#Complex.exists_root,cisalgebraicallyclosed,
field of fractions of an integral domain,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Localization/FractionRing.html#IsFractionRing,fieldoffractionsofanintegraldomain,
rupture field,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/AdjoinRoot.html#AdjoinRoot,rupturefield,
perfect closure,https://leanprover-community.github.io/mathlib4_docs/Mathlib/FieldTheory/PerfectClosure.html#PerfectClosure,perfectclosure,
Galois correspondence,https://leanprover-community.github.io/mathlib4_docs/Mathlib/FieldTheory/Galois/Basic.html#IsGalois.intermediateFieldEquivSubgroup,galoiscorrespondence,
Abel-Ruffini theorem (one direction),https://leanprover-community.github.io/mathlib4_docs/Mathlib/FieldTheory/AbelRuffini.html#solvableByRad.isSolvable,abelruffinitheoremonedirection,Q657482 (0.840; token_jaccard=0.60) Abel–Ruffini theorem [layer5.csv]
functorial homology,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Homology/ShortComplex/HomologicalComplex.html#HomologicalComplex.homology,functorialhomology,
sum of two squares,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/SumTwoSquares.html#Nat.Prime.sq_add_sq,sumoftwosquares,Q25303848 (0.920; token_jaccard=0.80) sum of two squares theorem [layer3.csv]; Q65328533 (0.900; token_jaccard=0.75) sum of squares [layer4.csv]; Q1017274 (0.840; token_jaccard=0.60) difference of two squares [layer4.csv]; Q25103942 (0.840; token_jaccard=0.60) sum of squares function [layer4.csv]; Q15907969 (0.840; token_jaccard=0.60) sum of two cubes [layer4.csv]
sum of four squares,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/SumFourSquares.html#Nat.sum_four_squares,sumoffoursquares,Q65328533 (0.900; token_jaccard=0.75) sum of squares [layer4.csv]; Q25103942 (0.840; token_jaccard=0.60) sum of squares function [layer4.csv]
solutions to Pell's equation,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/PellMatiyasevic.html#Pell.pell,solutionstopellsequation,
Matiyasevič's theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/PellMatiyasevic.html#Pell.matiyasevic,matiyasevicstheorem,
arithmetic functions,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/ArithmeticFunction.html#ArithmeticFunction,arithmeticfunctions,
Bernoulli numbers,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/Bernoulli.html#bernoulli,bernoullinumbers,
Hensel's lemma (for $\mathbb{Z}_p$),https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/Padics/Hensel.html#hensels_lemma,henselslemmaformathbbzp,
ring of Witt vectors,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/WittVector/Defs.html#WittVector,ringofwittvectors,
perfection of a ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RingTheory/Perfection.html#Ring.Perfection,perfectionofaring,Q289093 (0.840; token_jaccard=0.60) localization of a ring [layer3.csv]; Q3341881 (0.840; token_jaccard=0.60) nilradical of a ring [layer3.csv]; Q1154351 (0.840; token_jaccard=0.60) spectrum of a ring [layer2.csv]
Liouville's theorem on existence of transcendental numbers,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/Transcendental/Liouville/LiouvilleNumber.html#transcendental_liouvilleNumber,liouvillestheoremonexistenceoftranscendentalnumbers,
Finiteness of the class number,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/NumberField/ClassNumber.html#NumberField.RingOfIntegers.instFintypeClassGroup,finitenessoftheclassnumber,
Dirichlet class number formula,https://leanprover-community.github.io/mathlib4_docs/Mathlib/NumberTheory/NumberField/DedekindZeta.html#NumberField.tendsto_sub_one_mul_dedekindZeta_nhdsGT,dirichletclassnumberformula,Q126278518 (0.920; token_jaccard=0.80) Dirichlet's class number formula [layer3.csv]; Q3291120 (0.900; token_jaccard=0.75) class number formula [layer5.csv]
category of finite dimensional representations,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RepresentationTheory/FDRep.html#FDRep,categoryoffinitedimensionalrepresentations,Q48999031 (0.840; token_jaccard=0.60) category of representations [layer3.csv]
orthogonality of characters,https://leanprover-community.github.io/mathlib4_docs/Mathlib/RepresentationTheory/Character.html#FDRep.char_orthonormal,orthogonalityofcharacters,
the category of modules over a ring,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Category/ModuleCat/Basic.html#ModuleCat,thecategoryofmodulesoveraring,
dual vector space,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Dual/Defs.html#Module.Dual,dualvectorspace,Q752487 (0.867; token_jaccard=0.67) dual space [layer3.csv]; Q125977 (0.867; token_jaccard=0.67) vector space [layer2.csv]
finite-dimensionality,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/FiniteDimensional/Defs.html#FiniteDimensional,finitedimensionality,
isomorphism with $K^n$,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Basis/Defs.html#Module.Basis.equivFun,isomorphismwithkn,
isomorphism with bidual,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Dual/Defs.html#Module.evalEquiv,isomorphismwithbidual,
structure theorem,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Algebra/Module/PID.html#Module.equiv_free_prod_directSum,structuretheorem,Q5141331 (0.867; token_jaccard=0.67) Cohen structure theorem [layer4.csv]; Q5597098 (0.867; token_jaccard=0.67) graph structure theorem [layer4.csv]
matrix representation of a linear map,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Matrix/ToLin.html#LinearMap.toMatrix,matrixrepresentationofalinearmap,
invertibility,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Matrix/NonsingularInverse.html#Matrix.inv,invertibility,
existence of an eigenvalue,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Eigenspace/Triangularizable.html#Module.End.exists_eigenvalue,existenceofaneigenvalue,
matrix representation,https://leanprover-community.github.io/mathlib4_docs/Mathlib/LinearAlgebra/Matrix/BilinearForm.html#BilinForm.toMatrix,matrixrepresentation,
existence of orthonormal basis,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Analysis/InnerProductSpace/PiL2.html#OrthonormalBasis,existenceoforthonormalbasis,
limit of a map with respect to filters,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Order/Filter/Defs.html#Filter.Tendsto,limitofamapwithrespecttofilters,
the category of topological spaces,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Category/TopCat/Basic.html#TopCat,thecategoryoftopologicalspaces,Q2000555 (0.920; token_jaccard=0.80) category of topological spaces [layer2.csv]; Q113834084 (0.867; token_jaccard=0.67) category of pointed topological spaces [layer2.csv]; Q5051854 (0.867; token_jaccard=0.67) category of topological vector spaces [layer3.csv]
cluster point,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Defs/Filter.html#ClusterPt,clusterpoint,
extension by continuity,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/DenseEmbedding.html#IsDenseInducing.extend,extensionbycontinuity,
compactness in terms of filters,https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Defs/Filter.html#IsCompact,compactnessintermsoffilters,
compactness in terms of open covers (Borel-Lebesgue),https://leanprover-community.github.io/mathlib4_docs/Mathlib/Topology/Compactness/Compact.html#isCompact_iff_finite_subcover,compactnessintermsofopencoversborellebesgue,
