Wikidata ID,Chicago,Chicago link,Wikidata Label
Q207476,holomorphic,https://mathgloss.github.io/MathGloss/chicago/holomorphic,Holomorphic function
Q54938846,homogeneous relation,https://mathgloss.github.io/MathGloss/chicago/homogeneous_relation,Endorelation
Q2243424,idempotent,https://mathgloss.github.io/MathGloss/chicago/idempotent,Idempotent (ring theory)
Q1319773,inconsistent,https://mathgloss.github.io/MathGloss/chicago/inconsistent,Consistency
Q17502105,infimum,https://mathgloss.github.io/MathGloss/chicago/infimum,Infimum and supremum
Q182003,injective,https://mathgloss.github.io/MathGloss/chicago/injective,Injective function
Q214159,inner product,https://mathgloss.github.io/MathGloss/chicago/inner_product,Inner product space
Q81376506,isotypic component,https://mathgloss.github.io/MathGloss/chicago/isotypic_component,Isotypic component
Q751969,left coset,https://mathgloss.github.io/MathGloss/chicago/left_coset,Coset
Q207643,linear transformation,https://mathgloss.github.io/MathGloss/chicago/linear_transformation,Linear map
Q27670,linearly dependent,https://mathgloss.github.io/MathGloss/chicago/linearly_dependent,Linear Algebra/Linearly Independent Vectors
Q27670,linearly independent,https://mathgloss.github.io/MathGloss/chicago/linearly_independent,Linear Algebra/Linearly Independent Vectors
Q845060,local maximum,https://mathgloss.github.io/MathGloss/chicago/local_maximum,Relative extrema
Q845060,local minimum,https://mathgloss.github.io/MathGloss/chicago/local_minimum,Relative extrema
Q2147620,locally compact group,https://mathgloss.github.io/MathGloss/chicago/locally_compact_group,Locally compact topological group
Q13222579,lower bound,https://mathgloss.github.io/MathGloss/chicago/lower_bound,Upper and lower bounds
Q1156903,lower sum,https://mathgloss.github.io/MathGloss/chicago/lower_sum,Riemann sum
Q622679,matrix Lie group,https://mathgloss.github.io/MathGloss/chicago/matrix_Lie_group,LieGroup
Q902017,matrix logarithm,https://mathgloss.github.io/MathGloss/chicago/matrix_logarithm,Logarithm of a matrix
Q6803482,meager,https://mathgloss.github.io/MathGloss/chicago/meager,Meager
Q599027,mean value property,https://mathgloss.github.io/MathGloss/chicago/mean_value_property,Harmonic function
Q192276,measurable,https://mathgloss.github.io/MathGloss/chicago/measurable,Measure theory
Q1201815,measure zero,https://mathgloss.github.io/MathGloss/chicago/measure_zero,Null set
Q2344169,mesh,https://mathgloss.github.io/MathGloss/chicago/mesh,Partition of an interval
Q848569,metric completion,https://mathgloss.github.io/MathGloss/chicago/metric_completion,Complete metric space
Q18848,module over a ring,https://mathgloss.github.io/MathGloss/chicago/module_over_a_ring,Module (algebra)
Q6899873,monic,https://mathgloss.github.io/MathGloss/chicago/monic,Monic
Q97303181,multilinear,https://mathgloss.github.io/MathGloss/chicago/multilinear,Multilinear
Q1764371,negative variation,https://mathgloss.github.io/MathGloss/chicago/negative_variation,Signed measure
Q840023,nilpotent,https://mathgloss.github.io/MathGloss/chicago/nilpotent,Nilpotent
Q1747745,nonmeager,https://mathgloss.github.io/MathGloss/chicago/nonmeager,Second category
Q360830,normal series,https://mathgloss.github.io/MathGloss/chicago/normal_series,Subgroup series
Q860609,ordinary generating function,https://mathgloss.github.io/MathGloss/chicago/ordinary_generating_function,Generating function
Q2748415,orientable,https://mathgloss.github.io/MathGloss/chicago/orientable,Orientability
Q2748415,oriented manifold,https://mathgloss.github.io/MathGloss/chicago/oriented_manifold,Orientability
Q114044192,orthogonal,https://mathgloss.github.io/MathGloss/chicago/orthogonal,Orthogonality (mathematics)
Q1411166,orthonormal,https://mathgloss.github.io/MathGloss/chicago/orthonormal,Orthonormality
Q1082910,partition of an integer,https://mathgloss.github.io/MathGloss/chicago/partition_of_an_integer,Integer partition
Q7233276,positive definite,https://mathgloss.github.io/MathGloss/chicago/positive_definite,Positive-definite
Q1764371,positive variation,https://mathgloss.github.io/MathGloss/chicago/positive_variation,Signed measure
Q836088,prime subfield,https://mathgloss.github.io/MathGloss/chicago/prime_subfield,Characteristic (algebra)
Q756747,primitive root of unity,https://mathgloss.github.io/MathGloss/chicago/primitive_root_of_unity,Root of unity
Q577835,quadratic field extension,https://mathgloss.github.io/MathGloss/chicago/quadratic_field_extension,Field extension
Q803531,quadratic integers,https://mathgloss.github.io/MathGloss/chicago/quadratic_integers,Quadratic integer
Q1393796,quotient vector space,https://mathgloss.github.io/MathGloss/chicago/quotient_vector_space,Quotient space (linear algebra)
Q423113,rectifiable,https://mathgloss.github.io/MathGloss/chicago/rectifiable,Rectification
Q2136742,reflexive,https://mathgloss.github.io/MathGloss/chicago/reflexive,Reflexive
Q408620,regular,https://mathgloss.github.io/MathGloss/chicago/regular,Regular
Q751969,right coset,https://mathgloss.github.io/MathGloss/chicago/right_coset,Coset
Q609566,row operations,https://mathgloss.github.io/MathGloss/chicago/row_operations,Elementary matrix transformations
Q680081,separable metric space,https://mathgloss.github.io/MathGloss/chicago/separable_metric_space,Separable space
Q2628674,simple field extension,https://mathgloss.github.io/MathGloss/chicago/simple_field_extension,Primitive element (field theory)
Q15847822,smooth,https://mathgloss.github.io/MathGloss/chicago/smooth,Smooth
Q92552,solvability by radicals,https://mathgloss.github.io/MathGloss/chicago/solvability_by_radicals,Galois theory
Q7574831,special linear algebra,https://mathgloss.github.io/MathGloss/chicago/special_linear_algebra,Special linear Lie algebra
Q2739990,subbasis,https://mathgloss.github.io/MathGloss/chicago/subbasis,Subbase
Q185148,subinterval,https://mathgloss.github.io/MathGloss/chicago/subinterval,Interval on the real line
Q360830,subnormal series,https://mathgloss.github.io/MathGloss/chicago/subnormal_series,Subgroup series
Q229102,surjective,https://mathgloss.github.io/MathGloss/chicago/surjective,Surjective function
Q12485,symmetric,https://mathgloss.github.io/MathGloss/chicago/symmetric,Symmetry
Q1163016,tensor product of vector spaces,https://mathgloss.github.io/MathGloss/chicago/tensor_product_of_vector_spaces,Tensor product
Q810214,topological basis,https://mathgloss.github.io/MathGloss/chicago/topological_basis,Topological base
Q173091,transcendental,https://mathgloss.github.io/MathGloss/chicago/transcendental,Transcendental number
Q7834418,transition function,https://mathgloss.github.io/MathGloss/chicago/transition_function,Transition function
Q671944,transitive,https://mathgloss.github.io/MathGloss/chicago/transitive,Transitive set
Q26905729,typical,https://mathgloss.github.io/MathGloss/chicago/typical,Typical
Q1128796,uncountable,https://mathgloss.github.io/MathGloss/chicago/uncountable,Uncountable set
Q1052579,unique factorization domain,https://mathgloss.github.io/MathGloss/chicago/unique_factorization_domain,Unique factorization domain
Q1156903,upper sum,https://mathgloss.github.io/MathGloss/chicago/upper_sum,Riemann sum
Q728435,vector subspace,https://mathgloss.github.io/MathGloss/chicago/vector_subspace,Linear Algebra/Subspace
