Wikidata ID,nLab,nLab link,Wikidata Label
Q382497,affine function,https://ncatlab.org/nlab/show/affine+function,Affine transformation
Q4688931,affine Grassmannian,https://ncatlab.org/nlab/show/affine+Grassmannian,Affine Grassmannian
Q5611270,affine group scheme,https://ncatlab.org/nlab/show/affine+group+scheme,Group scheme
Q382698,affine line,https://ncatlab.org/nlab/show/affine+line,Affine space
Q4688943,affine logic,https://ncatlab.org/nlab/show/affine+logic,Affine logic
Q1154351,affine scheme,https://ncatlab.org/nlab/show/affine+scheme,Spectrum of a ring
Q3554813,affine variety,https://ncatlab.org/nlab/show/affine+variety,Affine variety
Q7333799,affinoid algebra,https://ncatlab.org/nlab/show/affinoid+algebra,Rigid analytic space
Q4691672,Agda,https://ncatlab.org/nlab/show/Agda,Agda
Q102409779,Agnès Beaudry,https://ncatlab.org/nlab/show/Agn%C3%A8s+Beaudry,Agnès Beaudry
Q17338668,AGT correspondence,https://ncatlab.org/nlab/show/AGT+correspondence,AGT correspondence
Q400083,Aharonov-Bohm effect,https://ncatlab.org/nlab/show/Aharonov-Bohm+effect,Aharonov–Bohm effect
Q223517,Ahmadnagar,https://ncatlab.org/nlab/show/Ahmadnagar,Ahmednagar
Q75776525,Ahmed Almheiri,https://ncatlab.org/nlab/show/Ahmed+Almheiri,Ahmed Almheiri
Q371475,Aise Johan de Jong,https://ncatlab.org/nlab/show/Aise+Johan+de+Jong,Aise Johan de Jong
Q76434071,Akash Singh,https://ncatlab.org/nlab/show/Akash+Singh,Akash Singh
Q4701148,Akira Kono,https://ncatlab.org/nlab/show/Akira+Kono,Akira Kono
Q176588,Akshay Venkatesh,https://ncatlab.org/nlab/show/Akshay+Venkatesh,Akshay Venkatesh
Q364997,Alain Aspect,https://ncatlab.org/nlab/show/Alain+Aspect,Alain Aspect
Q313590,Alain Connes,https://ncatlab.org/nlab/show/Alain+Connes,Alain Connes
Q4706323,Alan Carey,https://ncatlab.org/nlab/show/Alan+Carey,Alan Carey
Q323316,Alan Guth,https://ncatlab.org/nlab/show/Alan+Guth,Alan Guth
