Wikidata ID,Title,Link,Label,Layer,Score,Reason,Alternates,Provenance
Q208237,monoid,https://emilyriehl.github.io/files/context.pdf#page=23,monoid,layer2.csv,1.000,exact_letters,,layer_match
Q10567583,small category,https://emilyriehl.github.io/files/context.pdf#page=24,small category,layer2.csv,1.000,exact_letters,Q121771058 (0.867; token_jaccard=0.67) locally small category [layer3.csv],layer_match
Q1331373,cardinal inaccessible,https://emilyriehl.github.io/files/context.pdf#page=24,inaccessible cardinal,layer5.csv,1.000,token_jaccard=1.00,Q12054637 (0.867; token_jaccard=0.67) weakly inaccessible cardinal [layer4.csv],layer_match
Q1193137,cardinal regular,https://emilyriehl.github.io/files/context.pdf#page=24,regular cardinal,layer3.csv,1.000,token_jaccard=1.00,,layer_match
Q1465090,Grothendieck universe,https://emilyriehl.github.io/files/context.pdf#page=24,Grothendieck universe,layer1.csv,1.000,exact_letters,,layer_match
Q121771058,locally small,https://emilyriehl.github.io/files/context.pdf#page=25,locally small category,layer5.csv,0.867,token_jaccard=0.67,,layer_match
Q1340800,endo- morphism,https://emilyriehl.github.io/files/context.pdf#page=25,endomorphism,layer2.csv,1.000,exact_letters,,layer_match
Q782566,automorphism,https://emilyriehl.github.io/files/context.pdf#page=25,automorphism,layer3.csv,1.000,exact_letters,,layer_match
Q1196038,groupoid,https://emilyriehl.github.io/files/context.pdf#page=25,groupoid,layer3.csv,1.000,exact_letters,,layer_match
Q83478,group,https://emilyriehl.github.io/files/context.pdf#page=25,group,layer2.csv,1.000,exact_letters,,layer_match
Q85174068,fundamental groupoid,https://emilyriehl.github.io/files/context.pdf#page=25,fundamental groupoid,layer4.csv,1.000,exact_letters,,layer_match
Q541563,subcategory,https://emilyriehl.github.io/files/context.pdf#page=26,subcategory,layer1.csv,1.000,exact_letters,,layer_match
Q426521,co-,https://emilyriehl.github.io/files/context.pdf#page=27,€co,layer5.csv,1.000,exact_letters,,layer_match
Q7098616,opposite category,https://emilyriehl.github.io/files/context.pdf#page=27,opposite category,layer3.csv,1.000,exact_letters,,layer_match
Q3117899,opposite group,https://emilyriehl.github.io/files/context.pdf#page=28,Opposite group,layer3.csv,1.000,exact_letters,,layer_match
Q1945067,monomorphism,https://emilyriehl.github.io/files/context.pdf#page=29,monomorphism,layer4.csv,1.000,exact_letters,,layer_match
Q1347208,epimorphism,https://emilyriehl.github.io/files/context.pdf#page=29,epimorphism,layer4.csv,1.000,exact_letters,,layer_match
Q16947425,epic,https://emilyriehl.github.io/files/context.pdf#page=29,Epic,layer5.csv,1.000,exact_letters,Q2700629 (1.000; exact_letters) Epic [layer5.csv],layer_match
Q56561486,mono,https://emilyriehl.github.io/files/context.pdf#page=29,Mono,layer5.csv,1.000,exact_letters,,layer_match
Q11703678,section,https://emilyriehl.github.io/files/context.pdf#page=30,section,layer5.csv,1.000,exact_letters,Q17103180 (1.000; exact_letters) section [layer4.csv],layer_match
Q57605839,retraction,https://emilyriehl.github.io/files/context.pdf#page=30,retraction,layer4.csv,1.000,exact_letters,,layer_match
Q2141963,retract,https://emilyriehl.github.io/files/context.pdf#page=30,retract,layer1.csv,1.000,exact_letters,Q7316893 (1.000; exact_letters) retract [layer1.csv],layer_match
Q121773562,split monomorphism,https://emilyriehl.github.io/files/context.pdf#page=30,split monomorphism,layer5.csv,1.000,exact_letters,,layer_match
Q121773569,split epimorphism,https://emilyriehl.github.io/files/context.pdf#page=30,split epimorphism,layer5.csv,1.000,exact_letters,,layer_match
Q179692,axiom of choice,https://emilyriehl.github.io/files/context.pdf#page=30,axiom of choice,layer3.csv,1.000,exact_letters,Q1000116 (0.900; token_jaccard=0.75) axiom of countable choice [layer3.csv]; Q3303153 (0.900; token_jaccard=0.75) axiom of dependent choice [layer3.csv]; Q3511558 (0.900; token_jaccard=0.75) axiom of global choice [layer2.csv]; Q4478785 (0.840; token_jaccard=0.60) equivalent of the axiom of choice [layer2.csv],layer_match
Q215071,supremum,https://emilyriehl.github.io/files/context.pdf#page=31,supremum,layer2.csv,1.000,exact_letters,,layer_match
Q864475,functor,https://emilyriehl.github.io/files/context.pdf#page=31,functor,layer2.csv,1.000,exact_letters,,layer_match
