title,link
5.1 Introduction to inductive types,http://planetmath.org/51introductiontoinductivetypes
5.2 Uniqueness of inductive types,http://planetmath.org/52uniquenessofinductivetypes
5.3 W-types,http://planetmath.org/53wtypes
5.4 Inductive types are initial algebras,http://planetmath.org/54inductivetypesareinitialalgebras
5.5 Homotopy-inductive types,http://planetmath.org/55homotopyinductivetypes
5.6 The general syntax of inductive definitions,http://planetmath.org/56thegeneralsyntaxofinductivedefinitions
5.7 Generalizations of inductive types,http://planetmath.org/57generalizationsofinductivetypes
5.8 Identity types and identity systems,http://planetmath.org/58identitytypesandidentitysystems
5. Entanglement,http://planetmath.org/5entanglement
5. Induction,http://planetmath.org/5induction
6.10 Quotients,http://planetmath.org/610quotients
6.11 Algebra,http://planetmath.org/611algebra
6.12 The flattening lemma,http://planetmath.org/612theflatteninglemma
6.13 The general syntax of higher inductive definitions,http://planetmath.org/613thegeneralsyntaxofhigherinductivedefinitions
6.1 Introduction,http://planetmath.org/61introduction
6.2 Induction principles and dependent paths,http://planetmath.org/62inductionprinciplesanddependentpaths
6.3 The interval,http://planetmath.org/63theinterval
6.4 Circles and spheres,http://planetmath.org/64circlesandspheres
6.5 Suspensions,http://planetmath.org/65suspensions
6.6 Cell complexes,http://planetmath.org/66cellcomplexes
6.7 Hubs and spokes,http://planetmath.org/67hubsandspokes
6.8 Pushouts,http://planetmath.org/68pushouts
6.9 Truncations,http://planetmath.org/69truncations
6. Discussion,http://planetmath.org/6discussion
6j-representation in 3D in grafix,http://planetmath.org/6jrepresentationin3dingrafix
7.1 Definition of n-types,http://planetmath.org/71definitionofntypes
7.2 Uniqueness of identity proofs and Hedbergâs theorem,http://planetmath.org/72uniquenessofidentityproofsandhedbergstheorem
7.3 Truncations,http://planetmath.org/73truncations
7.4 Colimits of n-types,http://planetmath.org/74colimitsofntypes
7.5 Connectedness,http://planetmath.org/75connectedness
7.6 Orthogonal factorization,http://planetmath.org/76orthogonalfactorization
7.7 Modalities,http://planetmath.org/77modalities
7. Homotopy n-types,http://planetmath.org/7homotopyntypes
8.10 Additional Results,http://planetmath.org/810additionalresults
8.1.1 Getting started,http://planetmath.org/811gettingstarted
8.1.2 The classical proof,http://planetmath.org/812theclassicalproof
8.1.3 The universal cover in type theory,http://planetmath.org/813theuniversalcoverintypetheory
8.1.4 The encode-decode proof,http://planetmath.org/814theencodedecodeproof
8.1.5 The homotopy-theoretic proof,http://planetmath.org/815thehomotopytheoreticproof
8.1.6 The universal cover as an identity system,http://planetmath.org/816theuniversalcoverasanidentitysystem
8.1 π_1⁢(S_1),http://planetmath.org/81pi1s1
8.2 Connectedness of suspensions,http://planetmath.org/82connectednessofsuspensions
8.3 π_{k≤n} of an n-connected space and π_{k<n}⁢(S^n),http://planetmath.org/83piklenofannconnectedspaceandpiknsn
8.4 Fiber sequences and the long exact sequence,http://planetmath.org/84fibersequencesandthelongexactsequence
8.5.1 Fibrations over pushouts,http://planetmath.org/851fibrationsoverpushouts
8.5.2 The Hopf construction,http://planetmath.org/852thehopfconstruction
8.5.3 The Hopf fibration,http://planetmath.org/853thehopffibration
8.5 The Hopf fibration,http://planetmath.org/85thehopffibration
8.6 The Freudenthal suspension theorem,http://planetmath.org/86thefreudenthalsuspensiontheorem
8.7.1 Naive van Kampen,http://planetmath.org/871naivevankampen
8.7.2 The van Kampen theorem with a set of basepoints,http://planetmath.org/872thevankampentheoremwithasetofbasepoints
8.7 The van Kampen theorem,http://planetmath.org/87thevankampentheorem
8.8 Whiteheadâs theorem and Whiteheadâs principle,http://planetmath.org/88whiteheadstheoremandwhiteheadsprinciple
8.9 A general statement of the encode-decode method,http://planetmath.org/89ageneralstatementoftheencodedecodemethod
8. Homotopy theory,http://planetmath.org/8homotopytheory
9.1 Categories and precategories,http://planetmath.org/91categoriesandprecategories
9.2 Functors and transformations,http://planetmath.org/92functorsandtransformations
9.3 Adjunctions,http://planetmath.org/93adjunctions
9.4 Equivalences,http://planetmath.org/94equivalences
9.5 The Yoneda lemma,http://planetmath.org/95theyonedalemma
9.6 Strict categories,http://planetmath.org/96strictcategories
9.7 †-categories,http://planetmath.org/97daggercategories
9.8 The structure identity principle,http://planetmath.org/98thestructureidentityprinciple
9.9 The Rezk completion,http://planetmath.org/99therezkcompletion
9. Category theory,http://planetmath.org/9categorytheory
a,http://planetmath.org/a
A.0 Preliminaries,http://planetmath.org/a0preliminaries
A.1.1 Type universes,http://planetmath.org/a11typeuniverses
A.1.2 Dependent function types (Π-types),http://planetmath.org/a12dependentfunctiontypespitypes
A.1.3 Dependent pair types (Σ-types),http://planetmath.org/a13dependentpairtypessigmatypes
A.1.4 Coproduct types,http://planetmath.org/a14coproducttypes
A.1.5 The finite types,http://planetmath.org/a15thefinitetypes
A.1.6 Natural numbers,http://planetmath.org/a16naturalnumbers
A.1.7 W-types,http://planetmath.org/a17wtypes
A.1.8 Identity types,http://planetmath.org/a18identitytypes
A.1 The first presentation,http://planetmath.org/a1thefirstpresentation
A.2.10 Identity types,http://planetmath.org/a210identitytypes
A.2.11 Definitions,http://planetmath.org/a211definitions
A.2.1 Contexts,http://planetmath.org/a21contexts
A.2.3 Type universes,http://planetmath.org/a23typeuniverses
A.2.4 Dependent function types (Π-types),http://planetmath.org/a24dependentfunctiontypespitypes
A.2.5 Dependent pair types (S⁢i⁢g⁢m⁢a-types),http://planetmath.org/a25dependentpairtypessigmatypes
A.2.6 Coproduct types,http://planetmath.org/a26coproducttypes
A.2.7 The empty type 0,http://planetmath.org/a27theemptytype0
A.2.8 The unit type 1,http://planetmath.org/a28theunittype1
A.2.9 The natural number type,http://planetmath.org/a29thenaturalnumbertype
A.2 The second presentation,http://planetmath.org/a2thesecondpresentation
A.3.1 Function extensionality and univalence,http://planetmath.org/a31functionextensionalityandunivalence
A.3.2 The circle,http://planetmath.org/a32thecircle
A.3 Homotopy type theory,http://planetmath.org/a3homotopytypetheory
A.4 Basic metatheory,http://planetmath.org/a4basicmetatheory
AAA,http://planetmath.org/aaa
AAS is not valid in spherical geometry,http://planetmath.org/aasisnotvalidinsphericalgeometry
abacus,http://planetmath.org/abacus
A⁢B and B⁢A are almost isospectral,http://planetmath.org/abandbaarealmostisospectral
ABC conjecture,http://planetmath.org/abcconjecture
"(a,b)=(c,d) if and only if a=c and b=d",http://planetmath.org/abcdifandonlyifacandbd
abelian extension,http://planetmath.org/abelianextension
abelian function,http://planetmath.org/abelianfunction
abelian group,http://planetmath.org/abeliangroup
abelian group is divisible if and only if it is an injective object,http://planetmath.org/abeliangroupisdivisibleifandonlyifitisaninjectiveobject
abelian groups of order 120,http://planetmath.org/abeliangroupsoforder120
abelianization,http://planetmath.org/abelianization
abelian number field,http://planetmath.org/abeliannumberfield
abelian variety,http://planetmath.org/abelianvariety
Abel Prize,http://planetmath.org/abelprize
Abel’s lemma,http://planetmath.org/abelslemma
Abel’s limit theorem,http://planetmath.org/abelslimittheorem
Abel’s multiplication rule for series,http://planetmath.org/abelsmultiplicationruleforseries
Abel summability,http://planetmath.org/abelsummability
AB is conjugate to BA,http://planetmath.org/abisconjugatetoba
abnormal subgroup,http://planetmath.org/abnormalsubgroup
absolute convergence implies convergence for an infinite product,http://planetmath.org/absoluteconvergenceimpliesconvergenceforaninfiniteproduct
absolute convergence implies uniform convergence,http://planetmath.org/absoluteconvergenceimpliesuniformconvergence
absolute convergence of double series,http://planetmath.org/absoluteconvergenceofdoubleseries
absolute convergence of infinite product,http://planetmath.org/absoluteconvergenceofinfiniteproduct
absolute convergence of infinite product and series,http://planetmath.org/absoluteconvergenceofinfiniteproductandseries
absolute convergence of integral and boundedness of derivative,http://planetmath.org/absoluteconvergenceofintegralandboundednessofderivative
absolute convergence theorem,http://planetmath.org/absoluteconvergencetheorem
absolute Galois group,http://planetmath.org/absolutegaloisgroup
absolutely continuous,http://planetmath.org/absolutelycontinuous
absolutely continuous function,http://planetmath.org/absolutelycontinuousfunction
"absolutely continuous on [0,1] versus absolutely continuous on [ε,1] for every ε>0",http://planetmath.org/absolutelycontinuouson01versusabsolutelycontinuousonvarepsilon1foreveryvarepsilon0
absolutely convergent infinite product converges,http://planetmath.org/absolutelyconvergentinfiniteproductconverges
absolutely flat,http://planetmath.org/absolutelyflat
absolute moments bounding (necessary and sufficient condition),http://planetmath.org/absolutemomentsboundingnecessaryandsufficientcondition
absolute retract,http://planetmath.org/absoluteretract
absolute value,http://planetmath.org/absolutevalue
absolute value in a vector lattice,http://planetmath.org/absolutevalueinavectorlattice
absolute value inequalities,http://planetmath.org/absolutevalueinequalities
absorbing element,http://planetmath.org/absorbingelement
absorbing set,http://planetmath.org/absorbingset
abstract embedding,http://planetmath.org/abstractembedding
