title,link,suggestion
based objects,[based objects](https://mathgloss.github.io/MathGloss/based_objects),based object
represented by,[represented by](https://mathgloss.github.io/MathGloss/represented_by),representable functor
separating set,[separating set](https://mathgloss.github.io/MathGloss/separating_set),separating set
inverse limit,[inverse limit](https://mathgloss.github.io/MathGloss/inverse_limit),inverse limit
weakly initial,[weakly initial](https://mathgloss.github.io/MathGloss/weakly_initial),weakly initial object
generators,[generators](https://mathgloss.github.io/MathGloss/generators),generators
cycles,[cycles](https://mathgloss.github.io/MathGloss/cycles),n-cycles
model,[model](https://mathgloss.github.io/MathGloss/model),model of Lawvere theory
truncation,[truncation](https://mathgloss.github.io/MathGloss/truncation),n-truncation
free,[free](https://mathgloss.github.io/MathGloss/free),free left G-set
localization,[localization](https://mathgloss.github.io/MathGloss/localization),reflective subcategory
isomorphism of categories,[isomorphism of categories](https://mathgloss.github.io/MathGloss/isomorphism_of_categories),isomorphism of categories
coinduction,[coinduction](https://mathgloss.github.io/MathGloss/coinduction),coinduction
functor category,[functor category](https://mathgloss.github.io/MathGloss/functor_category),functor category
natural transformation,[natural transformation](https://mathgloss.github.io/MathGloss/natural_transformation),natural transformation
split,[split](https://mathgloss.github.io/MathGloss/split),split idempotent
axioms,[axioms](https://mathgloss.github.io/MathGloss/axioms),axiom
abstract nonsense,[abstract nonsense](https://mathgloss.github.io/MathGloss/abstract_nonsense),abstract nonsense
horizontal composition,[horizontal composition](https://mathgloss.github.io/MathGloss/horizontal_composition),horizontal composition
discrete left fibration,[discrete left fibration](https://mathgloss.github.io/MathGloss/discrete_left_fibration),discrete left fibration
category of elements,[category of elements](https://mathgloss.github.io/MathGloss/category_of_elements),category of elements
exact,[exact](https://mathgloss.github.io/MathGloss/exact),exact functor
free group on a single generator,[free group on a single generator](https://mathgloss.github.io/MathGloss/free_group_on_a_single_generator),free group on a single generator
lim inf,[lim inf](https://mathgloss.github.io/MathGloss/lim_inf),lim inf of a sequence
absolute colimit,[absolute colimit](https://mathgloss.github.io/MathGloss/absolute_colimit),absolute colimit
sheafification,[sheafification](https://mathgloss.github.io/MathGloss/sheafification),sheafification
free $T$-algebra,[free $T$-algebra](https://mathgloss.github.io/MathGloss/free_$T$-algebra),free T-algebra
fiber product,[fiber product](https://mathgloss.github.io/MathGloss/fiber_product),pullback
Jacobian matrix,[Jacobian matrix](https://mathgloss.github.io/MathGloss/Jacobian_matrix),Jacobian matrix
torsion-free,[torsion-free](https://mathgloss.github.io/MathGloss/torsion-free),torsion-free part
identity morphism,[identity morphism](https://mathgloss.github.io/MathGloss/identity_morphism),identity morphism
isomorphism,[isomorphism](https://mathgloss.github.io/MathGloss/isomorphism),isomorphism
whiskering,[whiskering](https://mathgloss.github.io/MathGloss/whiskering),whiskered composite
inaccessible cardinals,[inaccessible cardinals](https://mathgloss.github.io/MathGloss/inaccessible_cardinals),inaccessible cardinal
morphism of adjunctions,[morphism of adjunctions](https://mathgloss.github.io/MathGloss/morphism_of_adjunctions),morphism of adjunctions
nerve,[nerve](https://mathgloss.github.io/MathGloss/nerve),nerve of a category
equivalence of categories,[equivalence of categories](https://mathgloss.github.io/MathGloss/equivalence_of_categories),equivalence of categories
total singular complex functor,[total singular complex functor](https://mathgloss.github.io/MathGloss/total_singular_complex_functor),total singular complex functor
two-variable adjunction,[two-variable adjunction](https://mathgloss.github.io/MathGloss/two-variable_adjunction),two-variable adjunction
meet semilattice,[meet semilattice](https://mathgloss.github.io/MathGloss/meet_semilattice),meet semilattice
functoriality axioms,[functoriality axioms](https://mathgloss.github.io/MathGloss/functoriality_axioms),functoriality axioms
free loop space,[free loop space](https://mathgloss.github.io/MathGloss/free_loop_space),free loop space
preserves,[preserves](https://mathgloss.github.io/MathGloss/preserves),functor that preserves a left Kan extension
automorphism group,[automorphism group](https://mathgloss.github.io/MathGloss/automorphism_group),automorphism group
propositional function,[propositional function](https://mathgloss.github.io/MathGloss/propositional_function),propositional function
