title,link,suggestion
terminal object,[terminal object](https://mathgloss.github.io/MathGloss/terminal_object),terminal object
point-set derived functors,[point-set derived functors](https://mathgloss.github.io/MathGloss/point-set_derived_functors),point-set derived functor
Galois extension,[Galois extension](https://mathgloss.github.io/MathGloss/Galois_extension),Galois extension
bijections,[bijections](https://mathgloss.github.io/MathGloss/bijections),bijection
total left derived functor,[total left derived functor](https://mathgloss.github.io/MathGloss/total_left_derived_functor),total left derived functor
symmetric monoidal category,[symmetric monoidal category](https://mathgloss.github.io/MathGloss/symmetric_monoidal_category),symmetric monoidal category
Eilenberg-MacLane space,[Eilenberg-MacLane space](https://mathgloss.github.io/MathGloss/Eilenberg-MacLane_space),Eilenberg-MacLane space
separator,[separator](https://mathgloss.github.io/MathGloss/separator),separating set
reduced suspension,[reduced suspension](https://mathgloss.github.io/MathGloss/reduced_suspension),reduced suspension
Markov kernels,[Markov kernels](https://mathgloss.github.io/MathGloss/Markov_kernels),adjunction
2-of-6 property,[2-of-6 property](https://mathgloss.github.io/MathGloss/2-of-6_property),2-of-6 property
geometric realization,[geometric realization](https://mathgloss.github.io/MathGloss/geometric_realization),geometric realization of a simplicial set
fixed points,[fixed points](https://mathgloss.github.io/MathGloss/fixed_points),fixed point
pointwise right Kan extension,[pointwise right Kan extension](https://mathgloss.github.io/MathGloss/pointwise_right_Kan_extension),pointwise right Kan extension
affine linear combination,[affine linear combination](https://mathgloss.github.io/MathGloss/affine_linear_combination),affine linear combination
cover,[cover](https://mathgloss.github.io/MathGloss/cover),sheaf
double dual monad,[double dual monad](https://mathgloss.github.io/MathGloss/double_dual_monad),double power set monad
representable universal property of the colimit,[representable universal property of the colimit](https://mathgloss.github.io/MathGloss/representable_universal_property_of_the_colimit),representable universal property of the colimit
opposing pair,[opposing pair](https://mathgloss.github.io/MathGloss/opposing_pair),opposing pair of morphisms
smash product,[smash product](https://mathgloss.github.io/MathGloss/smash_product),smash product
group completion,[group completion](https://mathgloss.github.io/MathGloss/group_completion),group completion
biproducts,[biproducts](https://mathgloss.github.io/MathGloss/biproducts),biproduct
Grothendieck group,[Grothendieck group](https://mathgloss.github.io/MathGloss/Grothendieck_group),Grothendieck group
regular,[regular](https://mathgloss.github.io/MathGloss/regular),regular cardinal
free group,[free group](https://mathgloss.github.io/MathGloss/free_group),free group
Lawvere theory,[Lawvere theory](https://mathgloss.github.io/MathGloss/Lawvere_theory),Lawvere theory
limit diagram,[limit diagram](https://mathgloss.github.io/MathGloss/limit_diagram),limit diagram
epi,[epi](https://mathgloss.github.io/MathGloss/epi),epi morphism
under,[under](https://mathgloss.github.io/MathGloss/under),morphism under $c$
directed graph,[directed graph](https://mathgloss.github.io/MathGloss/directed_graph),directed graph
Frobenius reciprocity,[Frobenius reciprocity](https://mathgloss.github.io/MathGloss/Frobenius_reciprocity),Frobenius reciprocity
basepoint,[basepoint](https://mathgloss.github.io/MathGloss/basepoint),basepoint
powers,[powers](https://mathgloss.github.io/MathGloss/powers),power
reflective subcategory,[reflective subcategory](https://mathgloss.github.io/MathGloss/reflective_subcategory),Reflective subcategory
maps,[maps](https://mathgloss.github.io/MathGloss/maps),morphism
cokernel,[cokernel](https://mathgloss.github.io/MathGloss/cokernel),cokernel
mono,[mono](https://mathgloss.github.io/MathGloss/mono),monomorphism
philosophy of generalized elements,[philosophy of generalized elements](https://mathgloss.github.io/MathGloss/philosophy_of_generalized_elements),philosophy of generalized elements
weak homotopy equivalences,[weak homotopy equivalences](https://mathgloss.github.io/MathGloss/weak_homotopy_equivalences),weak homotopy equivalence
commutator subgroup,[commutator subgroup](https://mathgloss.github.io/MathGloss/commutator_subgroup),commutator subgroup
dual basis,[dual basis](https://mathgloss.github.io/MathGloss/dual_basis),dual basis
mutually left adjoint,[mutually left adjoint](https://mathgloss.github.io/MathGloss/mutually_left_adjoint),mutually left adjoint functors
partial function,[partial function](https://mathgloss.github.io/MathGloss/partial_function),partial function
apex,[apex](https://mathgloss.github.io/MathGloss/apex),cone over a diagram
dense subcategory,[dense subcategory](https://mathgloss.github.io/MathGloss/dense_subcategory),dense subcategory
conservative,[conservative](https://mathgloss.github.io/MathGloss/conservative),conservative functor
boundary,[boundary](https://mathgloss.github.io/MathGloss/boundary),boundary
quasi-isomorphisms,[quasi-isomorphisms](https://mathgloss.github.io/MathGloss/quasi-isomorphisms),quasi-isomorphism
finitary,[finitary](https://mathgloss.github.io/MathGloss/finitary),finitary functor
Galois group,[Galois group](https://mathgloss.github.io/MathGloss/Galois_group),Galois group
relation,[relation](https://mathgloss.github.io/MathGloss/relation),equivalence relation
antitone Galois connection,[antitone Galois connection](https://mathgloss.github.io/MathGloss/antitone_Galois_connection),antitone Galois connection
weakly initial object,[weakly initial object](https://mathgloss.github.io/MathGloss/weakly_initial_object),weakly initial object
idempotent monad,[idempotent monad](https://mathgloss.github.io/MathGloss/idempotent_monad),idempotent monad
topological monoid,[topological monoid](https://mathgloss.github.io/MathGloss/topological_monoid),topological monoid
unlabeled F-structures,[unlabeled F-structures](https://mathgloss.github.io/MathGloss/unlabeled_F-structures),unlabeled F-structures
finite,[finite](https://mathgloss.github.io/MathGloss/finite),finite diagram
dual,[dual](https://mathgloss.github.io/MathGloss/dual),natural isomorphism
dependent product,[dependent product](https://mathgloss.github.io/MathGloss/dependent_product),dependent product
Étale space,[Étale space](https://mathgloss.github.io/MathGloss/etale_space),Étale space
fundamental groupoid,[fundamental groupoid](https://mathgloss.github.io/MathGloss/fundamental_groupoid),fundamental groupoid
monad,[monad](https://mathgloss.github.io/MathGloss/monad),monad on a category
discrete time Markov chain,[discrete time Markov chain](https://mathgloss.github.io/MathGloss/discrete_time_Markov_chain),Kleisli category
equivalent,[equivalent](https://mathgloss.github.io/MathGloss/equivalent),equivalence of categories
dual vector space,[dual vector space](https://mathgloss.github.io/MathGloss/dual_vector_space),dual vector space
decategorification,[decategorification](https://mathgloss.github.io/MathGloss/decategorification),decategorification
comma category,[comma category](https://mathgloss.github.io/MathGloss/comma_category),comma category
subobject,[subobject](https://mathgloss.github.io/MathGloss/subobject),subobject
free unital ring on a single generator,[free unital ring on a single generator](https://mathgloss.github.io/MathGloss/free_unital_ring_on_a_single_generator),free unital ring on a single generator
idempotent,[idempotent](https://mathgloss.github.io/MathGloss/idempotent),idempotent endomorphism
affine,[affine](https://mathgloss.github.io/MathGloss/affine),affine linear combination
full embedding,[full embedding](https://mathgloss.github.io/MathGloss/full_embedding),full embedding
cone over,[cone over](https://mathgloss.github.io/MathGloss/cone_over),cone over a diagram
discrete,[discrete](https://mathgloss.github.io/MathGloss/discrete),discrete category
regular cardinal,[regular cardinal](https://mathgloss.github.io/MathGloss/regular_cardinal),locally $\kappa$-presentable category
dual theorem,[dual theorem](https://mathgloss.github.io/MathGloss/dual_theorem),dual theorem
slice categories,[slice categories](https://mathgloss.github.io/MathGloss/slice_categories),slice category
epimorphism,[epimorphism](https://mathgloss.github.io/MathGloss/epimorphism),epimorphism
isomorphic,[isomorphic](https://mathgloss.github.io/MathGloss/isomorphic),isomorphic objects
subcategory,[subcategory](https://mathgloss.github.io/MathGloss/subcategory),subcategory
Beck--Chevalley condition,[Beck--Chevalley condition](https://mathgloss.github.io/MathGloss/Beck-Chevalley_condition),Beck-Chevalley condition
skeletal,[skeletal](https://mathgloss.github.io/MathGloss/skeletal),skeletal category
free R-module monad,[free R-module monad](https://mathgloss.github.io/MathGloss/free_R-module_monad),free R-module monad
maximal groupoid,[maximal groupoid](https://mathgloss.github.io/MathGloss/maximal_groupoid),maximal groupoid
contractible groupoid,[contractible groupoid](https://mathgloss.github.io/MathGloss/contractible_groupoid),contractible groupoid
commutative cube,[commutative cube](https://mathgloss.github.io/MathGloss/commutative_cube),commutative cube
equivalence relation,[equivalence relation](https://mathgloss.github.io/MathGloss/equivalence_relation),equivalence relation
direct sums,[direct sums](https://mathgloss.github.io/MathGloss/direct_sums),direct sum
zero object,[zero object](https://mathgloss.github.io/MathGloss/zero_object),abelian category
based loop space,[based loop space](https://mathgloss.github.io/MathGloss/based_loop_space),Based loop space
free product,[free product](https://mathgloss.github.io/MathGloss/free_product),free product of groups
extranatural transformation,[extranatural transformation](https://mathgloss.github.io/MathGloss/extranatural_transformation),Natural transformation
action,[action](https://mathgloss.github.io/MathGloss/action),**action**
representable,[representable](https://mathgloss.github.io/MathGloss/representable),representable functor
orbits,[orbits](https://mathgloss.github.io/MathGloss/orbits),orbit
on n generators,[on n generators](https://mathgloss.github.io/MathGloss/on_n_generators),free group on n generators
center of the category,[center of the category](https://mathgloss.github.io/MathGloss/center_of_the_category),center of the category
adic solenoid,[adic solenoid](https://mathgloss.github.io/MathGloss/adic_solenoid),p-adic solenoid
opposite category,[opposite category](https://mathgloss.github.io/MathGloss/opposite_category),opposite category
finite formal sum,[finite formal sum](https://mathgloss.github.io/MathGloss/finite_formal_sum),finite formal sum
section,[section](https://mathgloss.github.io/MathGloss/section),section
total derivative,[total derivative](https://mathgloss.github.io/MathGloss/total_derivative),total derivative
chaotic,[chaotic](https://mathgloss.github.io/MathGloss/chaotic),chaotic category
adic integers,[adic integers](https://mathgloss.github.io/MathGloss/adic_integers),p-adic integer
categorification,[categorification](https://mathgloss.github.io/MathGloss/categorification),categorification
limit,[limit](https://mathgloss.github.io/MathGloss/limit),limit object
localization functor,[localization functor](https://mathgloss.github.io/MathGloss/localization_functor),localization functor
free abelian group,[free abelian group](https://mathgloss.github.io/MathGloss/free_abelian_group),free abelian group
minimal homotopical structure,[minimal homotopical structure](https://mathgloss.github.io/MathGloss/minimal_homotopical_structure),minimal homotopical structure
Kleisli category,[Kleisli category](https://mathgloss.github.io/MathGloss/Kleisli_category),Kleisli category
linear functional,[linear functional](https://mathgloss.github.io/MathGloss/linear_functional),linear functional
Giry monad,[Giry monad](https://mathgloss.github.io/MathGloss/Giry_monad),**Idempotent monad**
coequalizer diagram,[coequalizer diagram](https://mathgloss.github.io/MathGloss/coequalizer_diagram),coequalizer diagram
classifying function,[classifying function](https://mathgloss.github.io/MathGloss/classifying_function),classifying function
joins,[joins](https://mathgloss.github.io/MathGloss/joins),lattice morphism
linear dual,[linear dual](https://mathgloss.github.io/MathGloss/linear_dual),linear dual
free vector space on the set,[free vector space on the set](https://mathgloss.github.io/MathGloss/free_vector_space_on_the_set),free vector space
local,[local](https://mathgloss.github.io/MathGloss/local),initial object
whiskered composite,[whiskered composite](https://mathgloss.github.io/MathGloss/whiskered_composite),whiskered composite
equalizer diagram,[equalizer diagram](https://mathgloss.github.io/MathGloss/equalizer_diagram),Equalizer
trivial fiber space,[trivial fiber space](https://mathgloss.github.io/MathGloss/trivial_fiber_space),trivial fiber space
monadic over,[monadic over](https://mathgloss.github.io/MathGloss/monadic_over),monadic category
free commutative monoid monad,[free commutative monoid monad](https://mathgloss.github.io/MathGloss/free_commutative_monoid_monad),free commutative monoid monad
skeleton,[skeleton](https://mathgloss.github.io/MathGloss/skeleton),skeleton of a category
dense,[dense](https://mathgloss.github.io/MathGloss/dense),dense subcategory
exact sequence,[exact sequence](https://mathgloss.github.io/MathGloss/exact_sequence),exact sequence
strictly monadic,[strictly monadic](https://mathgloss.github.io/MathGloss/strictly_monadic),strictly monadic functor
terminal n-colored graph,[terminal n-colored graph](https://mathgloss.github.io/MathGloss/terminal_n-colored_graph),terminal n-colored graph
restriction of scalars,[restriction of scalars](https://mathgloss.github.io/MathGloss/restriction_of_scalars),restriction of scalars functor
connected components,[connected components](https://mathgloss.github.io/MathGloss/connected_components),connected component
two-sided represented functor,[two-sided represented functor](https://mathgloss.github.io/MathGloss/two-sided_represented_functor),two-sided represented functor
interior,[interior](https://mathgloss.github.io/MathGloss/interior),interior of a set
colimit diagram,[colimit diagram](https://mathgloss.github.io/MathGloss/colimit_diagram),colimit diagram
reflexive,[reflexive](https://mathgloss.github.io/MathGloss/reflexive),reflexive pair
universal property,[universal property](https://mathgloss.github.io/MathGloss/universal_property),universal element
classifying space,[classifying space](https://mathgloss.github.io/MathGloss/classifying_space),classifying space
Galois connection,[Galois connection](https://mathgloss.github.io/MathGloss/Galois_connection),Galois connection
center,[center](https://mathgloss.github.io/MathGloss/center),center of a group
split coequalizer,[split coequalizer](https://mathgloss.github.io/MathGloss/split_coequalizer),split coequalizer diagram
pushout,[pushout](https://mathgloss.github.io/MathGloss/pushout),pushout
vertical composition,[vertical composition](https://mathgloss.github.io/MathGloss/vertical_composition),horizontal composition
reflector,[reflector](https://mathgloss.github.io/MathGloss/reflector),reflector
subobject classifier,[subobject classifier](https://mathgloss.github.io/MathGloss/subobject_classifier),subobject classifier
presheaf,[presheaf](https://mathgloss.github.io/MathGloss/presheaf),presheaf
endomorphism,[endomorphism](https://mathgloss.github.io/MathGloss/endomorphism),endomorphism
cocones,[cocones](https://mathgloss.github.io/MathGloss/cocones),cone
abelian,[abelian](https://mathgloss.github.io/MathGloss/abelian),abelian category
functor,[functor](https://mathgloss.github.io/MathGloss/functor),functor
opposite group,[opposite group](https://mathgloss.github.io/MathGloss/opposite_group),opposite group
faithful,[faithful](https://mathgloss.github.io/MathGloss/faithful),faithful functor
strictly creates coequalizers of $U$-split pairs,[strictly creates coequalizers of $U$-split pairs](https://mathgloss.github.io/MathGloss/strictly_creates_coequalizers_of_$U$-split_pairs),$U$-split coequalizer
right action,[right action](https://mathgloss.github.io/MathGloss/right_action),right action
four color theorem,[four color theorem](https://mathgloss.github.io/MathGloss/four_color_theorem),Four color theorem
tensors,[tensors](https://mathgloss.github.io/MathGloss/tensors),tensor
fork,[fork](https://mathgloss.github.io/MathGloss/fork),fork
complete lattice,[complete lattice](https://mathgloss.github.io/MathGloss/complete_lattice),complete lattice
product projections,[product projections](https://mathgloss.github.io/MathGloss/product_projections),product projections
double power set monad,[double power set monad](https://mathgloss.github.io/MathGloss/double_power_set_monad),Double power set monad
retract,[retract](https://mathgloss.github.io/MathGloss/retract),retraction
monic,[monic](https://mathgloss.github.io/MathGloss/monic),monic morphism
absolute,[absolute](https://mathgloss.github.io/MathGloss/absolute),absolute coequalizer
cotensors,[cotensors](https://mathgloss.github.io/MathGloss/cotensors),cotensors
cone under,[cone under](https://mathgloss.github.io/MathGloss/cone_under),cone under
colimit cone,[colimit cone](https://mathgloss.github.io/MathGloss/colimit_cone),colimit cone
reflexive directed graphs,[reflexive directed graphs](https://mathgloss.github.io/MathGloss/reflexive_directed_graphs),reflexive tripleability theorem
algebra,[algebra](https://mathgloss.github.io/MathGloss/algebra),Affine algebra
free abelian group monad,[free abelian group monad](https://mathgloss.github.io/MathGloss/free_abelian_group_monad),free abelian group monad
essentially surjective on objects,[essentially surjective on objects](https://mathgloss.github.io/MathGloss/essentially_surjective_on_objects),essentially surjective functor
coskeleton,[coskeleton](https://mathgloss.github.io/MathGloss/coskeleton),coskeleton
right adjoint,[right adjoint](https://mathgloss.github.io/MathGloss/right_adjoint),right adjoint functor
variable adjunction,[variable adjunction](https://mathgloss.github.io/MathGloss/variable_adjunction),n-variable adjunction
homotopy equivalences,[homotopy equivalences](https://mathgloss.github.io/MathGloss/homotopy_equivalences),homotopy equivalence
coalgebra,[coalgebra](https://mathgloss.github.io/MathGloss/coalgebra),terminal coalgebra
twisted arrow category,[twisted arrow category](https://mathgloss.github.io/MathGloss/twisted_arrow_category),twisted arrow category
